Characteristics.Subject.ID.	Characteristics.Strain.	Factor.Value.Compound.	Comment.chEMBL.ID.	Genotoxicity	Carcinogenicity	Characteristics.Control.	Characteristics.Sample.Match.	Factor.Value.Dose.	Characteristics.DoseUnit.	Time	TimeUnit	Replicate	Characteristics.Vehicle.	array_file	control_file	final_array_name
valproic acid_400_24h_1	not specified	valproic acid	CHEMBL109	NGTX	NA	FALSE	valproic acid_0_24h_1	400	uM	24	h	1	NA	tg_gates_003017006019.CEL	tg_gates_003017006017.CEL	study23_CHEMBL109_400uM_24h_1
clofibrate_0_2h_1	not specified	clofibrate	CHEMBL565	NGTX	C	TRUE		0	uM	2	h	1	NA	tg_gates_003017007014.CEL		study23_CHEMBL565_0uM_2h_1
clofibrate_0_2h_2	not specified	clofibrate	CHEMBL565	NGTX	C	TRUE		0	uM	2	h	2	NA	tg_gates_003017007015.CEL		study23_CHEMBL565_0uM_2h_2
clofibrate_12_2h_1	not specified	clofibrate	CHEMBL565	NGTX	C	FALSE	clofibrate_0_2h_1	12	uM	2	h	1	NA	tg_gates_003017007016.CEL	tg_gates_003017007014.CEL	study23_CHEMBL565_12uM_2h_1
clofibrate_12_2h_2	not specified	clofibrate	CHEMBL565	NGTX	C	FALSE	clofibrate_0_2h_2	12	uM	2	h	2	NA	tg_gates_003017007017.CEL	tg_gates_003017007015.CEL	study23_CHEMBL565_12uM_2h_2
clofibrate_60_2h_1	not specified	clofibrate	CHEMBL565	NGTX	C	FALSE	clofibrate_0_2h_1	60	uM	2	h	1	NA	tg_gates_003017007018.CEL	tg_gates_003017007014.CEL	study23_CHEMBL565_60uM_2h_1
clofibrate_60_2h_2	not specified	clofibrate	CHEMBL565	NGTX	C	FALSE	clofibrate_0_2h_2	60	uM	2	h	2	NA	tg_gates_003017007019.CEL	tg_gates_003017007015.CEL	study23_CHEMBL565_60uM_2h_2
clofibrate_300_2h_1	not specified	clofibrate	CHEMBL565	NGTX	C	FALSE	clofibrate_0_2h_1	300	uM	2	h	1	NA	tg_gates_003017007020.CEL	tg_gates_003017007014.CEL	study23_CHEMBL565_300uM_2h_1
clofibrate_300_2h_2	not specified	clofibrate	CHEMBL565	NGTX	C	FALSE	clofibrate_0_2h_2	300	uM	2	h	2	NA	tg_gates_003017007021.CEL	tg_gates_003017007015.CEL	study23_CHEMBL565_300uM_2h_2
clofibrate_0_8h_1	not specified	clofibrate	CHEMBL565	NGTX	C	TRUE		0	uM	8	h	1	NA	tg_gates_003017007022.CEL		study23_CHEMBL565_0uM_8h_1
clofibrate_0_8h_2	not specified	clofibrate	CHEMBL565	NGTX	C	TRUE		0	uM	8	h	2	NA	tg_gates_003017007023.CEL		study23_CHEMBL565_0uM_8h_2
clofibrate_12_8h_1	not specified	clofibrate	CHEMBL565	NGTX	C	FALSE	clofibrate_0_8h_1	12	uM	8	h	1	NA	tg_gates_003017007024.CEL	tg_gates_003017007022.CEL	study23_CHEMBL565_12uM_8h_1
clofibrate_12_8h_2	not specified	clofibrate	CHEMBL565	NGTX	C	FALSE	clofibrate_0_8h_2	12	uM	8	h	2	NA	tg_gates_003017007025.CEL	tg_gates_003017007023.CEL	study23_CHEMBL565_12uM_8h_2
clofibrate_60_8h_1	not specified	clofibrate	CHEMBL565	NGTX	C	FALSE	clofibrate_0_8h_1	60	uM	8	h	1	NA	tg_gates_003017007026.CEL	tg_gates_003017007022.CEL	study23_CHEMBL565_60uM_8h_1
clofibrate_60_8h_2	not specified	clofibrate	CHEMBL565	NGTX	C	FALSE	clofibrate_0_8h_2	60	uM	8	h	2	NA	tg_gates_003017007027.CEL	tg_gates_003017007023.CEL	study23_CHEMBL565_60uM_8h_2
clofibrate_300_8h_1	not specified	clofibrate	CHEMBL565	NGTX	C	FALSE	clofibrate_0_8h_1	300	uM	8	h	1	NA	tg_gates_003017007028.CEL	tg_gates_003017007022.CEL	study23_CHEMBL565_300uM_8h_1
clofibrate_300_8h_2	not specified	clofibrate	CHEMBL565	NGTX	C	FALSE	clofibrate_0_8h_2	300	uM	8	h	2	NA	tg_gates_003017007029.CEL	tg_gates_003017007023.CEL	study23_CHEMBL565_300uM_8h_2
clofibrate_0_24h_1	not specified	clofibrate	CHEMBL565	NGTX	C	TRUE		0	uM	24	h	1	NA	tg_gates_003017007030.CEL		study23_CHEMBL565_0uM_24h_1
clofibrate_0_24h_2	not specified	clofibrate	CHEMBL565	NGTX	C	TRUE		0	uM	24	h	2	NA	tg_gates_003017008001.CEL		study23_CHEMBL565_0uM_24h_2
clofibrate_12_24h_1	not specified	clofibrate	CHEMBL565	NGTX	C	FALSE	clofibrate_0_24h_1	12	uM	24	h	1	NA	tg_gates_003017008002.CEL	tg_gates_003017007030.CEL	study23_CHEMBL565_12uM_24h_1
clofibrate_12_24h_2	not specified	clofibrate	CHEMBL565	NGTX	C	FALSE	clofibrate_0_24h_2	12	uM	24	h	2	NA	tg_gates_003017008003.CEL	tg_gates_003017008001.CEL	study23_CHEMBL565_12uM_24h_2
clofibrate_60_24h_1	not specified	clofibrate	CHEMBL565	NGTX	C	FALSE	clofibrate_0_24h_1	60	uM	24	h	1	NA	tg_gates_003017008004.CEL	tg_gates_003017007030.CEL	study23_CHEMBL565_60uM_24h_1
clofibrate_60_24h_2	not specified	clofibrate	CHEMBL565	NGTX	C	FALSE	clofibrate_0_24h_2	60	uM	24	h	2	NA	tg_gates_003017008005.CEL	tg_gates_003017008001.CEL	study23_CHEMBL565_60uM_24h_2
clofibrate_300_24h_1	not specified	clofibrate	CHEMBL565	NGTX	C	FALSE	clofibrate_0_24h_1	300	uM	24	h	1	NA	tg_gates_003017008006.CEL	tg_gates_003017007030.CEL	study23_CHEMBL565_300uM_24h_1
clofibrate_300_24h_2	not specified	clofibrate	CHEMBL565	NGTX	C	FALSE	clofibrate_0_24h_2	300	uM	24	h	2	NA	tg_gates_003017008007.CEL	tg_gates_003017008001.CEL	study23_CHEMBL565_300uM_24h_2
rifampicin_70_2h_2	not specified	rifampicin	CHEMBL374478	NA	NA	FALSE	rifampicin_0_2h_2	70	uM	2	h	2	NA	tg_gates_003017010020.CEL	tg_gates_003017012002.CEL	study23_CHEMBL374478_70uM_2h_2
rifampicin_0_8h_1	not specified	rifampicin	CHEMBL374478	NA	NA	TRUE		0	uM	8	h	1	NA	tg_gates_003017010021.CEL		study23_CHEMBL374478_0uM_8h_1
rifampicin_0_8h_2	not specified	rifampicin	CHEMBL374478	NA	NA	TRUE		0	uM	8	h	2	NA	tg_gates_003017010022.CEL		study23_CHEMBL374478_0uM_8h_2
rifampicin_2.8_8h_1	not specified	rifampicin	CHEMBL374478	NA	NA	FALSE	rifampicin_0_8h_1	2.8	uM	8	h	1	NA	tg_gates_003017010023.CEL	tg_gates_003017010021.CEL	study23_CHEMBL374478_2.8uM_8h_1
rifampicin_2.8_8h_2	not specified	rifampicin	CHEMBL374478	NA	NA	FALSE	rifampicin_0_8h_2	2.8	uM	8	h	2	NA	tg_gates_003017010024.CEL	tg_gates_003017010022.CEL	study23_CHEMBL374478_2.8uM_8h_2
rifampicin_14_8h_1	not specified	rifampicin	CHEMBL374478	NA	NA	FALSE	rifampicin_0_8h_1	14	uM	8	h	1	NA	tg_gates_003017010025.CEL	tg_gates_003017010021.CEL	study23_CHEMBL374478_14uM_8h_1
rifampicin_14_8h_2	not specified	rifampicin	CHEMBL374478	NA	NA	FALSE	rifampicin_0_8h_2	14	uM	8	h	2	NA	tg_gates_003017010026.CEL	tg_gates_003017010022.CEL	study23_CHEMBL374478_14uM_8h_2
rifampicin_70_8h_1	not specified	rifampicin	CHEMBL374478	NA	NA	FALSE	rifampicin_0_8h_1	70	uM	8	h	1	NA	tg_gates_003017010027.CEL	tg_gates_003017010021.CEL	study23_CHEMBL374478_70uM_8h_1
rifampicin_70_8h_2	not specified	rifampicin	CHEMBL374478	NA	NA	FALSE	rifampicin_0_8h_2	70	uM	8	h	2	NA	tg_gates_003017010028.CEL	tg_gates_003017010022.CEL	study23_CHEMBL374478_70uM_8h_2
rifampicin_0_24h_1	not specified	rifampicin	CHEMBL374478	NA	NA	TRUE		0	uM	24	h	1	NA	tg_gates_003017010029.CEL		study23_CHEMBL374478_0uM_24h_1
rifampicin_0_24h_2	not specified	rifampicin	CHEMBL374478	NA	NA	TRUE		0	uM	24	h	2	NA	tg_gates_003017010030.CEL		study23_CHEMBL374478_0uM_24h_2
rifampicin_2.8_24h_1	not specified	rifampicin	CHEMBL374478	NA	NA	FALSE	rifampicin_0_24h_1	2.8	uM	24	h	1	NA	tg_gates_003017011025.CEL	tg_gates_003017010029.CEL	study23_CHEMBL374478_2.8uM_24h_1
rifampicin_2.8_24h_2	not specified	rifampicin	CHEMBL374478	NA	NA	FALSE	rifampicin_0_24h_2	2.8	uM	24	h	2	NA	tg_gates_003017011026.CEL	tg_gates_003017010030.CEL	study23_CHEMBL374478_2.8uM_24h_2
rifampicin_14_24h_1	not specified	rifampicin	CHEMBL374478	NA	NA	FALSE	rifampicin_0_24h_1	14	uM	24	h	1	NA	tg_gates_003017011027.CEL	tg_gates_003017010029.CEL	study23_CHEMBL374478_14uM_24h_1
rifampicin_14_24h_2	not specified	rifampicin	CHEMBL374478	NA	NA	FALSE	rifampicin_0_24h_2	14	uM	24	h	2	NA	tg_gates_003017011028.CEL	tg_gates_003017010030.CEL	study23_CHEMBL374478_14uM_24h_2
rifampicin_70_24h_2	not specified	rifampicin	CHEMBL374478	NA	NA	FALSE	rifampicin_0_24h_2	70	uM	24	h	2	NA	tg_gates_003017011030.CEL	tg_gates_003017010030.CEL	study23_CHEMBL374478_70uM_24h_2
rifampicin_0_2h_1	not specified	rifampicin	CHEMBL374478	NA	NA	TRUE		0	uM	2	h	1	NA	tg_gates_003017012001.CEL		study23_CHEMBL374478_0uM_2h_1
rifampicin_0_2h_2	not specified	rifampicin	CHEMBL374478	NA	NA	TRUE		0	uM	2	h	2	NA	tg_gates_003017012002.CEL		study23_CHEMBL374478_0uM_2h_2
rifampicin_2.8_2h_1	not specified	rifampicin	CHEMBL374478	NA	NA	FALSE	rifampicin_0_2h_1	2.8	uM	2	h	1	NA	tg_gates_003017012003.CEL	tg_gates_003017012001.CEL	study23_CHEMBL374478_2.8uM_2h_1
rifampicin_2.8_2h_2	not specified	rifampicin	CHEMBL374478	NA	NA	FALSE	rifampicin_0_2h_2	2.8	uM	2	h	2	NA	tg_gates_003017012004.CEL	tg_gates_003017012002.CEL	study23_CHEMBL374478_2.8uM_2h_2
rifampicin_14_2h_1	not specified	rifampicin	CHEMBL374478	NA	NA	FALSE	rifampicin_0_2h_1	14	uM	2	h	1	NA	tg_gates_003017012005.CEL	tg_gates_003017012001.CEL	study23_CHEMBL374478_14uM_2h_1
rifampicin_14_2h_2	not specified	rifampicin	CHEMBL374478	NA	NA	FALSE	rifampicin_0_2h_2	14	uM	2	h	2	NA	tg_gates_003017012006.CEL	tg_gates_003017012002.CEL	study23_CHEMBL374478_14uM_2h_2
rifampicin_70_2h_1	not specified	rifampicin	CHEMBL374478	NA	NA	FALSE	rifampicin_0_2h_1	70	uM	2	h	1	NA	tg_gates_003017012007.CEL	tg_gates_003017012001.CEL	study23_CHEMBL374478_70uM_2h_1
naphthyl isothiocyanate_0_2h_1	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	NA	TRUE		0	uM	2	h	1	NA	tg_gates_003017021008.CEL		study23_CHEMBL1381098_0uM_2h_1
naphthyl isothiocyanate_0_2h_2	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	NA	TRUE		0	uM	2	h	2	NA	tg_gates_003017021009.CEL		study23_CHEMBL1381098_0uM_2h_2
naphthyl isothiocyanate_8_2h_1	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	NA	FALSE	naphthyl isothiocyanate_0_2h_1	8	uM	2	h	1	NA	tg_gates_003017021010.CEL	tg_gates_003017021008.CEL	study23_CHEMBL1381098_8uM_2h_1
naphthyl isothiocyanate_8_2h_2	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	NA	FALSE	naphthyl isothiocyanate_0_2h_2	8	uM	2	h	2	NA	tg_gates_003017021011.CEL	tg_gates_003017021009.CEL	study23_CHEMBL1381098_8uM_2h_2
naphthyl isothiocyanate_40_2h_1	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	NA	FALSE	naphthyl isothiocyanate_0_2h_1	40	uM	2	h	1	NA	tg_gates_003017021012.CEL	tg_gates_003017021008.CEL	study23_CHEMBL1381098_40uM_2h_1
naphthyl isothiocyanate_40_2h_2	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	NA	FALSE	naphthyl isothiocyanate_0_2h_2	40	uM	2	h	2	NA	tg_gates_003017021013.CEL	tg_gates_003017021009.CEL	study23_CHEMBL1381098_40uM_2h_2
naphthyl isothiocyanate_200_2h_1	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	NA	FALSE	naphthyl isothiocyanate_0_2h_1	200	uM	2	h	1	NA	tg_gates_003017021014.CEL	tg_gates_003017021008.CEL	study23_CHEMBL1381098_200uM_2h_1
naphthyl isothiocyanate_200_2h_2	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	NA	FALSE	naphthyl isothiocyanate_0_2h_2	200	uM	2	h	2	NA	tg_gates_003017021015.CEL	tg_gates_003017021009.CEL	study23_CHEMBL1381098_200uM_2h_2
naphthyl isothiocyanate_0_8h_1	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	NA	TRUE		0	uM	8	h	1	NA	tg_gates_003017021016.CEL		study23_CHEMBL1381098_0uM_8h_1
naphthyl isothiocyanate_0_8h_2	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	NA	TRUE		0	uM	8	h	2	NA	tg_gates_003017021017.CEL		study23_CHEMBL1381098_0uM_8h_2
naphthyl isothiocyanate_8_8h_1	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	NA	FALSE	naphthyl isothiocyanate_0_8h_1	8	uM	8	h	1	NA	tg_gates_003017021018.CEL	tg_gates_003017021016.CEL	study23_CHEMBL1381098_8uM_8h_1
naphthyl isothiocyanate_8_8h_2	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	NA	FALSE	naphthyl isothiocyanate_0_8h_2	8	uM	8	h	2	NA	tg_gates_003017021019.CEL	tg_gates_003017021017.CEL	study23_CHEMBL1381098_8uM_8h_2
naphthyl isothiocyanate_40_8h_1	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	NA	FALSE	naphthyl isothiocyanate_0_8h_1	40	uM	8	h	1	NA	tg_gates_003017021020.CEL	tg_gates_003017021016.CEL	study23_CHEMBL1381098_40uM_8h_1
naphthyl isothiocyanate_40_8h_2	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	NA	FALSE	naphthyl isothiocyanate_0_8h_2	40	uM	8	h	2	NA	tg_gates_003017021021.CEL	tg_gates_003017021017.CEL	study23_CHEMBL1381098_40uM_8h_2
naphthyl isothiocyanate_200_8h_1	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	NA	FALSE	naphthyl isothiocyanate_0_8h_1	200	uM	8	h	1	NA	tg_gates_003017021022.CEL	tg_gates_003017021016.CEL	study23_CHEMBL1381098_200uM_8h_1
naphthyl isothiocyanate_200_8h_2	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	NA	FALSE	naphthyl isothiocyanate_0_8h_2	200	uM	8	h	2	NA	tg_gates_003017021023.CEL	tg_gates_003017021017.CEL	study23_CHEMBL1381098_200uM_8h_2
naphthyl isothiocyanate_0_24h_1	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	NA	TRUE		0	uM	24	h	1	NA	tg_gates_003017021024.CEL		study23_CHEMBL1381098_0uM_24h_1
naphthyl isothiocyanate_0_24h_2	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	NA	TRUE		0	uM	24	h	2	NA	tg_gates_003017021025.CEL		study23_CHEMBL1381098_0uM_24h_2
naphthyl isothiocyanate_8_24h_1	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	NA	FALSE	naphthyl isothiocyanate_0_24h_1	8	uM	24	h	1	NA	tg_gates_003017021026.CEL	tg_gates_003017021024.CEL	study23_CHEMBL1381098_8uM_24h_1
naphthyl isothiocyanate_8_24h_2	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	NA	FALSE	naphthyl isothiocyanate_0_24h_2	8	uM	24	h	2	NA	tg_gates_003017021027.CEL	tg_gates_003017021025.CEL	study23_CHEMBL1381098_8uM_24h_2
naphthyl isothiocyanate_40_24h_1	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	NA	FALSE	naphthyl isothiocyanate_0_24h_1	40	uM	24	h	1	NA	tg_gates_003017021028.CEL	tg_gates_003017021024.CEL	study23_CHEMBL1381098_40uM_24h_1
