Characteristics.Subject.ID.	Characteristics.Strain.	Factor.Value.Compound.	Comment.chEMBL.ID.	Characteristics.Compound.Class.	Characteristics.Control.	Characteristics.Sample.Match.	Factor.Value.Dose.	Characteristics.DoseUnit.	Characteristics.Vehicle.	array_file	control_file	final_array_name
isoniazid_400_24h_2	not specified	isoniazid	CHEMBL64	NA	FALSE	isoniazid_0_24h_2	400	micromolar	NA	tg_gates_003017005021.CEL	tg_gates_003017005019.CEL	
isoniazid_2000_24h_1	not specified	isoniazid	CHEMBL64	NA	FALSE	isoniazid_0_24h_1	2000	micromolar	NA	tg_gates_003017005022.CEL	tg_gates_003017005018.CEL	
isoniazid_2000_24h_2	not specified	isoniazid	CHEMBL64	NA	FALSE	isoniazid_0_24h_2	2000	micromolar	NA	tg_gates_003017005023.CEL	tg_gates_003017005019.CEL	
isoniazid_10000_24h_1	not specified	isoniazid	CHEMBL64	NA	FALSE	isoniazid_0_24h_1	10000	micromolar	NA	tg_gates_003017005024.CEL	tg_gates_003017005018.CEL	
isoniazid_10000_24h_2	not specified	isoniazid	CHEMBL64	NA	FALSE	isoniazid_0_24h_2	10000	micromolar	NA	tg_gates_003017005025.CEL	tg_gates_003017005019.CEL	
valproic acid_400_24h_2	not specified	valproic acid	CHEMBL109	NA	FALSE	valproic acid_0_24h_2	400	micromolar	NA	tg_gates_003017005026.CEL	tg_gates_003017006018.CEL	
valproic acid_2000_24h_1	not specified	valproic acid	CHEMBL109	NA	FALSE	valproic acid_0_24h_1	2000	micromolar	NA	tg_gates_003017005027.CEL	tg_gates_003017006017.CEL	
valproic acid_2000_24h_2	not specified	valproic acid	CHEMBL109	NA	FALSE	valproic acid_0_24h_2	2000	micromolar	NA	tg_gates_003017005028.CEL	tg_gates_003017006018.CEL	
valproic acid_10000_24h_1	not specified	valproic acid	CHEMBL109	NA	FALSE	valproic acid_0_24h_1	10000	micromolar	NA	tg_gates_003017005029.CEL	tg_gates_003017006017.CEL	
valproic acid_10000_24h_2	not specified	valproic acid	CHEMBL109	NA	FALSE	valproic acid_0_24h_2	10000	micromolar	NA	tg_gates_003017005030.CEL	tg_gates_003017006018.CEL	
valproic acid_0_2h_1	not specified	valproic acid	CHEMBL109	NA	TRUE		0	micromolar	NA	tg_gates_003017006001.CEL		
valproic acid_0_2h_2	not specified	valproic acid	CHEMBL109	NA	TRUE		0	micromolar	NA	tg_gates_003017006002.CEL		
valproic acid_400_2h_1	not specified	valproic acid	CHEMBL109	NA	FALSE	valproic acid_0_2h_1	400	micromolar	NA	tg_gates_003017006003.CEL		
valproic acid_400_2h_2	not specified	valproic acid	CHEMBL109	NA	FALSE	valproic acid_0_2h_2	400	micromolar	NA	tg_gates_003017006004.CEL		
valproic acid_2000_2h_1	not specified	valproic acid	CHEMBL109	NA	FALSE	valproic acid_0_2h_1	2000	micromolar	NA	tg_gates_003017006005.CEL		
valproic acid_2000_2h_2	not specified	valproic acid	CHEMBL109	NA	FALSE	valproic acid_0_2h_2	2000	micromolar	NA	tg_gates_003017006006.CEL		
valproic acid_10000_2h_1	not specified	valproic acid	CHEMBL109	NA	FALSE	valproic acid_0_2h_1	10000	micromolar	NA	tg_gates_003017006007.CEL		
valproic acid_10000_2h_2	not specified	valproic acid	CHEMBL109	NA	FALSE	valproic acid_0_2h_2	10000	micromolar	NA	tg_gates_003017006008.CEL		
valproic acid_0_8h_1	not specified	valproic acid	CHEMBL109	NA	TRUE		0	micromolar	NA	tg_gates_003017006009.CEL		
valproic acid_0_8h_2	not specified	valproic acid	CHEMBL109	NA	TRUE		0	micromolar	NA	tg_gates_003017006010.CEL		
valproic acid_400_8h_1	not specified	valproic acid	CHEMBL109	NA	FALSE	valproic acid_0_8h_1	400	micromolar	NA	tg_gates_003017006011.CEL		
valproic acid_400_8h_2	not specified	valproic acid	CHEMBL109	NA	FALSE	valproic acid_0_8h_2	400	micromolar	NA	tg_gates_003017006012.CEL		
valproic acid_2000_8h_1	not specified	valproic acid	CHEMBL109	NA	FALSE	valproic acid_0_8h_1	2000	micromolar	NA	tg_gates_003017006013.CEL		
valproic acid_2000_8h_2	not specified	valproic acid	CHEMBL109	NA	FALSE	valproic acid_0_8h_2	2000	micromolar	NA	tg_gates_003017006014.CEL		
valproic acid_10000_8h_1	not specified	valproic acid	CHEMBL109	NA	FALSE	valproic acid_0_8h_1	10000	micromolar	NA	tg_gates_003017006015.CEL		
valproic acid_10000_8h_2	not specified	valproic acid	CHEMBL109	NA	FALSE	valproic acid_0_8h_2	10000	micromolar	NA	tg_gates_003017006016.CEL		
valproic acid_0_24h_1	not specified	valproic acid	CHEMBL109	NA	TRUE		0	micromolar	NA	tg_gates_003017006017.CEL		
valproic acid_0_24h_2	not specified	valproic acid	CHEMBL109	NA	TRUE		0	micromolar	NA	tg_gates_003017006018.CEL		
valproic acid_400_24h_1	not specified	valproic acid	CHEMBL109	NA	FALSE	valproic acid_0_24h_1	400	micromolar	NA	tg_gates_003017006019.CEL		
clofibrate_0_2h_1	not specified	clofibrate	CHEMBL565	NA	TRUE		0	micromolar	NA	tg_gates_003017007014.CEL		
clofibrate_0_2h_2	not specified	clofibrate	CHEMBL565	NA	TRUE		0	micromolar	NA	tg_gates_003017007015.CEL		
clofibrate_12_2h_1	not specified	clofibrate	CHEMBL565	NA	FALSE	clofibrate_0_2h_1	12	micromolar	NA	tg_gates_003017007016.CEL		
clofibrate_12_2h_2	not specified	clofibrate	CHEMBL565	NA	FALSE	clofibrate_0_2h_2	12	micromolar	NA	tg_gates_003017007017.CEL		
clofibrate_60_2h_1	not specified	clofibrate	CHEMBL565	NA	FALSE	clofibrate_0_2h_1	60	micromolar	NA	tg_gates_003017007018.CEL		
clofibrate_60_2h_2	not specified	clofibrate	CHEMBL565	NA	FALSE	clofibrate_0_2h_2	60	micromolar	NA	tg_gates_003017007019.CEL		
clofibrate_300_2h_1	not specified	clofibrate	CHEMBL565	NA	FALSE	clofibrate_0_2h_1	300	micromolar	NA	tg_gates_003017007020.CEL		
clofibrate_300_2h_2	not specified	clofibrate	CHEMBL565	NA	FALSE	clofibrate_0_2h_2	300	micromolar	NA	tg_gates_003017007021.CEL		
clofibrate_0_8h_1	not specified	clofibrate	CHEMBL565	NA	TRUE		0	micromolar	NA	tg_gates_003017007022.CEL		
clofibrate_0_8h_2	not specified	clofibrate	CHEMBL565	NA	TRUE		0	micromolar	NA	tg_gates_003017007023.CEL		
clofibrate_12_8h_1	not specified	clofibrate	CHEMBL565	NA	FALSE	clofibrate_0_8h_1	12	micromolar	NA	tg_gates_003017007024.CEL		
clofibrate_12_8h_2	not specified	clofibrate	CHEMBL565	NA	FALSE	clofibrate_0_8h_2	12	micromolar	NA	tg_gates_003017007025.CEL		
clofibrate_60_8h_1	not specified	clofibrate	CHEMBL565	NA	FALSE	clofibrate_0_8h_1	60	micromolar	NA	tg_gates_003017007026.CEL		
clofibrate_60_8h_2	not specified	clofibrate	CHEMBL565	NA	FALSE	clofibrate_0_8h_2	60	micromolar	NA	tg_gates_003017007027.CEL		
clofibrate_300_8h_1	not specified	clofibrate	CHEMBL565	NA	FALSE	clofibrate_0_8h_1	300	micromolar	NA	tg_gates_003017007028.CEL		
clofibrate_300_8h_2	not specified	clofibrate	CHEMBL565	NA	FALSE	clofibrate_0_8h_2	300	micromolar	NA	tg_gates_003017007029.CEL		
clofibrate_0_24h_1	not specified	clofibrate	CHEMBL565	NA	TRUE		0	micromolar	NA	tg_gates_003017007030.CEL		
clofibrate_0_24h_2	not specified	clofibrate	CHEMBL565	NA	TRUE		0	micromolar	NA	tg_gates_003017008001.CEL		
clofibrate_12_24h_1	not specified	clofibrate	CHEMBL565	NA	FALSE	clofibrate_0_24h_1	12	micromolar	NA	tg_gates_003017008002.CEL		
clofibrate_12_24h_2	not specified	clofibrate	CHEMBL565	NA	FALSE	clofibrate_0_24h_2	12	micromolar	NA	tg_gates_003017008003.CEL		
clofibrate_60_24h_1	not specified	clofibrate	CHEMBL565	NA	FALSE	clofibrate_0_24h_1	60	micromolar	NA	tg_gates_003017008004.CEL		
clofibrate_60_24h_2	not specified	clofibrate	CHEMBL565	NA	FALSE	clofibrate_0_24h_2	60	micromolar	NA	tg_gates_003017008005.CEL		
clofibrate_300_24h_1	not specified	clofibrate	CHEMBL565	NA	FALSE	clofibrate_0_24h_1	300	micromolar	NA	tg_gates_003017008006.CEL		
clofibrate_300_24h_2	not specified	clofibrate	CHEMBL565	NA	FALSE	clofibrate_0_24h_2	300	micromolar	NA	tg_gates_003017008007.CEL		
rifampicin_70_2h_2	not specified	rifampicin	CHEMBL374478	NA	FALSE	rifampicin_0_2h_2	70	micromolar	NA	tg_gates_003017010020.CEL		
rifampicin_0_8h_1	not specified	rifampicin	CHEMBL374478	NA	TRUE		0	micromolar	NA	tg_gates_003017010021.CEL		
rifampicin_0_8h_2	not specified	rifampicin	CHEMBL374478	NA	TRUE		0	micromolar	NA	tg_gates_003017010022.CEL		
rifampicin_2.8_8h_1	not specified	rifampicin	CHEMBL374478	NA	FALSE	rifampicin_0_8h_1	2.8	micromolar	NA	tg_gates_003017010023.CEL		
rifampicin_2.8_8h_2	not specified	rifampicin	CHEMBL374478	NA	FALSE	rifampicin_0_8h_2	2.8	micromolar	NA	tg_gates_003017010024.CEL		
rifampicin_14_8h_1	not specified	rifampicin	CHEMBL374478	NA	FALSE	rifampicin_0_8h_1	14	micromolar	NA	tg_gates_003017010025.CEL		
rifampicin_14_8h_2	not specified	rifampicin	CHEMBL374478	NA	FALSE	rifampicin_0_8h_2	14	micromolar	NA	tg_gates_003017010026.CEL		
rifampicin_70_8h_1	not specified	rifampicin	CHEMBL374478	NA	FALSE	rifampicin_0_8h_1	70	micromolar	NA	tg_gates_003017010027.CEL		
rifampicin_70_8h_2	not specified	rifampicin	CHEMBL374478	NA	FALSE	rifampicin_0_8h_2	70	micromolar	NA	tg_gates_003017010028.CEL		
rifampicin_0_24h_1	not specified	rifampicin	CHEMBL374478	NA	TRUE		0	micromolar	NA	tg_gates_003017010029.CEL		
rifampicin_0_24h_2	not specified	rifampicin	CHEMBL374478	NA	TRUE		0	micromolar	NA	tg_gates_003017010030.CEL		
rifampicin_2.8_24h_1	not specified	rifampicin	CHEMBL374478	NA	FALSE	rifampicin_0_24h_1	2.8	micromolar	NA	tg_gates_003017011025.CEL		
rifampicin_2.8_24h_2	not specified	rifampicin	CHEMBL374478	NA	FALSE	rifampicin_0_24h_2	2.8	micromolar	NA	tg_gates_003017011026.CEL		
rifampicin_14_24h_1	not specified	rifampicin	CHEMBL374478	NA	FALSE	rifampicin_0_24h_1	14	micromolar	NA	tg_gates_003017011027.CEL		
rifampicin_14_24h_2	not specified	rifampicin	CHEMBL374478	NA	FALSE	rifampicin_0_24h_2	14	micromolar	NA	tg_gates_003017011028.CEL		
rifampicin_70_24h_2	not specified	rifampicin	CHEMBL374478	NA	FALSE	rifampicin_0_24h_2	70	micromolar	NA	tg_gates_003017011030.CEL		
rifampicin_0_2h_1	not specified	rifampicin	CHEMBL374478	NA	TRUE		0	micromolar	NA	tg_gates_003017012001.CEL		
rifampicin_0_2h_2	not specified	rifampicin	CHEMBL374478	NA	TRUE		0	micromolar	NA	tg_gates_003017012002.CEL		
rifampicin_2.8_2h_1	not specified	rifampicin	CHEMBL374478	NA	FALSE	rifampicin_0_2h_1	2.8	micromolar	NA	tg_gates_003017012003.CEL		
rifampicin_2.8_2h_2	not specified	rifampicin	CHEMBL374478	NA	FALSE	rifampicin_0_2h_2	2.8	micromolar	NA	tg_gates_003017012004.CEL		
rifampicin_14_2h_1	not specified	rifampicin	CHEMBL374478	NA	FALSE	rifampicin_0_2h_1	14	micromolar	NA	tg_gates_003017012005.CEL		
rifampicin_14_2h_2	not specified	rifampicin	CHEMBL374478	NA	FALSE	rifampicin_0_2h_2	14	micromolar	NA	tg_gates_003017012006.CEL		
rifampicin_70_2h_1	not specified	rifampicin	CHEMBL374478	NA	FALSE	rifampicin_0_2h_1	70	micromolar	NA	tg_gates_003017012007.CEL		
naphthyl isothiocyanate_0_2h_1	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	TRUE		0	micromolar	NA	tg_gates_003017021008.CEL		
naphthyl isothiocyanate_0_2h_2	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	TRUE		0	micromolar	NA	tg_gates_003017021009.CEL		
naphthyl isothiocyanate_8_2h_1	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	FALSE	naphthyl isothiocyanate_0_2h_1	8	micromolar	NA	tg_gates_003017021010.CEL		
naphthyl isothiocyanate_8_2h_2	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	FALSE	naphthyl isothiocyanate_0_2h_2	8	micromolar	NA	tg_gates_003017021011.CEL		
naphthyl isothiocyanate_40_2h_1	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	FALSE	naphthyl isothiocyanate_0_2h_1	40	micromolar	NA	tg_gates_003017021012.CEL		
naphthyl isothiocyanate_40_2h_2	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	FALSE	naphthyl isothiocyanate_0_2h_2	40	micromolar	NA	tg_gates_003017021013.CEL		
naphthyl isothiocyanate_200_2h_1	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	FALSE	naphthyl isothiocyanate_0_2h_1	200	micromolar	NA	tg_gates_003017021014.CEL		
naphthyl isothiocyanate_200_2h_2	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	FALSE	naphthyl isothiocyanate_0_2h_2	200	micromolar	NA	tg_gates_003017021015.CEL		
naphthyl isothiocyanate_0_8h_1	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	TRUE		0	micromolar	NA	tg_gates_003017021016.CEL		
naphthyl isothiocyanate_0_8h_2	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	TRUE		0	micromolar	NA	tg_gates_003017021017.CEL		
naphthyl isothiocyanate_8_8h_1	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	FALSE	naphthyl isothiocyanate_0_8h_1	8	micromolar	NA	tg_gates_003017021018.CEL		
naphthyl isothiocyanate_8_8h_2	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	FALSE	naphthyl isothiocyanate_0_8h_2	8	micromolar	NA	tg_gates_003017021019.CEL		
naphthyl isothiocyanate_40_8h_1	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	FALSE	naphthyl isothiocyanate_0_8h_1	40	micromolar	NA	tg_gates_003017021020.CEL		
naphthyl isothiocyanate_40_8h_2	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	FALSE	naphthyl isothiocyanate_0_8h_2	40	micromolar	NA	tg_gates_003017021021.CEL		
naphthyl isothiocyanate_200_8h_1	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	FALSE	naphthyl isothiocyanate_0_8h_1	200	micromolar	NA	tg_gates_003017021022.CEL		
naphthyl isothiocyanate_200_8h_2	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	FALSE	naphthyl isothiocyanate_0_8h_2	200	micromolar	NA	tg_gates_003017021023.CEL		
naphthyl isothiocyanate_0_24h_1	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	TRUE		0	micromolar	NA	tg_gates_003017021024.CEL		
naphthyl isothiocyanate_0_24h_2	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	TRUE		0	micromolar	NA	tg_gates_003017021025.CEL		
naphthyl isothiocyanate_8_24h_1	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	FALSE	naphthyl isothiocyanate_0_24h_1	8	micromolar	NA	tg_gates_003017021026.CEL		
naphthyl isothiocyanate_8_24h_2	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	FALSE	naphthyl isothiocyanate_0_24h_2	8	micromolar	NA	tg_gates_003017021027.CEL		
naphthyl isothiocyanate_40_24h_1	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	FALSE	naphthyl isothiocyanate_0_24h_1	40	micromolar	NA	tg_gates_003017021028.CEL		
naphthyl isothiocyanate_40_24h_2	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	FALSE	naphthyl isothiocyanate_0_24h_2	40	micromolar	NA	tg_gates_003017021029.CEL		
naphthyl isothiocyanate_200_24h_1	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	FALSE	naphthyl isothiocyanate_0_24h_1	200	micromolar	NA	tg_gates_003017021030.CEL		
naphthyl isothiocyanate_200_24h_2	not specified	naphthyl isothiocyanate	CHEMBL1381098	NA	FALSE	naphthyl isothiocyanate_0_24h_2	200	micromolar	NA	tg_gates_003017022001.CEL		
allyl alcohol_0_2h_1	not specified	allyl alcohol	CHEMBL234926	NA	TRUE		0	micromolar	NA	tg_gates_003017022002.CEL		
allyl alcohol_0_2h_2	not specified	allyl alcohol	CHEMBL234926	NA	TRUE		0	micromolar	NA	tg_gates_003017022003.CEL		
allyl alcohol_0.8_2h_1	not specified	allyl alcohol	CHEMBL234926	NA	FALSE	allyl alcohol_0_2h_1	0.8	micromolar	NA	tg_gates_003017022004.CEL		
allyl alcohol_0.8_2h_2	not specified	allyl alcohol	CHEMBL234926	NA	FALSE	allyl alcohol_0_2h_2	0.8	micromolar	NA	tg_gates_003017022005.CEL		
allyl alcohol_4_2h_1	not specified	allyl alcohol	CHEMBL234926	NA	FALSE	allyl alcohol_0_2h_1	4	micromolar	NA	tg_gates_003017022006.CEL		
allyl alcohol_4_2h_2	not specified	allyl alcohol	CHEMBL234926	NA	FALSE	allyl alcohol_0_2h_2	4	micromolar	NA	tg_gates_003017022007.CEL		
allyl alcohol_20_2h_1	not specified	allyl alcohol	CHEMBL234926	NA	FALSE	allyl alcohol_0_2h_1	20	micromolar	NA	tg_gates_003017022008.CEL		
allyl alcohol_20_2h_2	not specified	allyl alcohol	CHEMBL234926	NA	FALSE	allyl alcohol_0_2h_2	20	micromolar	NA	tg_gates_003017022009.CEL		
allyl alcohol_0_8h_1	not specified	allyl alcohol	CHEMBL234926	NA	TRUE		0	micromolar	NA	tg_gates_003017022010.CEL		
allyl alcohol_0_8h_2	not specified	allyl alcohol	CHEMBL234926	NA	TRUE		0	micromolar	NA	tg_gates_003017022011.CEL		
allyl alcohol_0.8_8h_1	not specified	allyl alcohol	CHEMBL234926	NA	FALSE	allyl alcohol_0_8h_1	0.8	micromolar	NA	tg_gates_003017022012.CEL		
allyl alcohol_0.8_8h_2	not specified	allyl alcohol	CHEMBL234926	NA	FALSE	allyl alcohol_0_8h_2	0.8	micromolar	NA	tg_gates_003017022013.CEL		
allyl alcohol_4_8h_1	not specified	allyl alcohol	CHEMBL234926	NA	FALSE	allyl alcohol_0_8h_1	4	micromolar	NA	tg_gates_003017022014.CEL		
allyl alcohol_4_8h_2	not specified	allyl alcohol	CHEMBL234926	NA	FALSE	allyl alcohol_0_8h_2	4	micromolar	NA	tg_gates_003017022015.CEL		
allyl alcohol_20_8h_1	not specified	allyl alcohol	CHEMBL234926	NA	FALSE	allyl alcohol_0_8h_1	20	micromolar	NA	tg_gates_003017022016.CEL		
allyl alcohol_20_8h_2	not specified	allyl alcohol	CHEMBL234926	NA	FALSE	allyl alcohol_0_8h_2	20	micromolar	NA	tg_gates_003017022017.CEL		
allyl alcohol_0_24h_1	not specified	allyl alcohol	CHEMBL234926	NA	TRUE		0	micromolar	NA	tg_gates_003017022018.CEL		
allyl alcohol_0_24h_2	not specified	allyl alcohol	CHEMBL234926	NA	TRUE		0	micromolar	NA	tg_gates_003017022019.CEL		
allyl alcohol_0.8_24h_1	not specified	allyl alcohol	CHEMBL234926	NA	FALSE	allyl alcohol_0_24h_1	0.8	micromolar	NA	tg_gates_003017022020.CEL		
allyl alcohol_0.8_24h_2	not specified	allyl alcohol	CHEMBL234926	NA	FALSE	allyl alcohol_0_24h_2	0.8	micromolar	NA	tg_gates_003017022021.CEL		
allyl alcohol_4_24h_1	not specified	allyl alcohol	CHEMBL234926	NA	FALSE	allyl alcohol_0_24h_1	4	micromolar	NA	tg_gates_003017022022.CEL		
allyl alcohol_4_24h_2	not specified	allyl alcohol	CHEMBL234926	NA	FALSE	allyl alcohol_0_24h_2	4	micromolar	NA	tg_gates_003017022023.CEL		
allyl alcohol_20_24h_1	not specified	allyl alcohol	CHEMBL234926	NA	FALSE	allyl alcohol_0_24h_1	20	micromolar	NA	tg_gates_003017022024.CEL		
allyl alcohol_20_24h_2	not specified	allyl alcohol	CHEMBL234926	NA	FALSE	allyl alcohol_0_24h_2	20	micromolar	NA	tg_gates_003017022025.CEL		
phenylbutazone_0_2h_1	not specified	phenylbutazone	CHEMBL101	NA	TRUE		0	micromolar	NA	tg_gates_003017023007.CEL		
phenylbutazone_0_2h_2	not specified	phenylbutazone	CHEMBL101	NA	TRUE		0	micromolar	NA	tg_gates_003017023008.CEL		
phenylbutazone_16_2h_1	not specified	phenylbutazone	CHEMBL101	NA	FALSE	phenylbutazone_0_2h_1	16	micromolar	NA	tg_gates_003017023009.CEL		
phenylbutazone_16_2h_2	not specified	phenylbutazone	CHEMBL101	NA	FALSE	phenylbutazone_0_2h_2	16	micromolar	NA	tg_gates_003017023010.CEL		
phenylbutazone_80_2h_1	not specified	phenylbutazone	CHEMBL101	NA	FALSE	phenylbutazone_0_2h_1	80	micromolar	NA	tg_gates_003017023011.CEL		
phenylbutazone_80_2h_2	not specified	phenylbutazone	CHEMBL101	NA	FALSE	phenylbutazone_0_2h_2	80	micromolar	NA	tg_gates_003017023012.CEL		
phenylbutazone_400_2h_1	not specified	phenylbutazone	CHEMBL101	NA	FALSE	phenylbutazone_0_2h_1	400	micromolar	NA	tg_gates_003017023013.CEL		
phenylbutazone_400_2h_2	not specified	phenylbutazone	CHEMBL101	NA	FALSE	phenylbutazone_0_2h_2	400	micromolar	NA	tg_gates_003017023014.CEL		
phenylbutazone_0_8h_1	not specified	phenylbutazone	CHEMBL101	NA	TRUE		0	micromolar	NA	tg_gates_003017023015.CEL		
phenylbutazone_0_8h_2	not specified	phenylbutazone	CHEMBL101	NA	TRUE		0	micromolar	NA	tg_gates_003017023016.CEL		
phenylbutazone_16_8h_1	not specified	phenylbutazone	CHEMBL101	NA	FALSE	phenylbutazone_0_8h_1	16	micromolar	NA	tg_gates_003017023017.CEL		
phenylbutazone_16_8h_2	not specified	phenylbutazone	CHEMBL101	NA	FALSE	phenylbutazone_0_8h_2	16	micromolar	NA	tg_gates_003017023018.CEL		
phenylbutazone_80_8h_1	not specified	phenylbutazone	CHEMBL101	NA	FALSE	phenylbutazone_0_8h_1	80	micromolar	NA	tg_gates_003017023019.CEL		
phenylbutazone_80_8h_2	not specified	phenylbutazone	CHEMBL101	NA	FALSE	phenylbutazone_0_8h_2	80	micromolar	NA	tg_gates_003017023020.CEL		
phenylbutazone_400_8h_1	not specified	phenylbutazone	CHEMBL101	NA	FALSE	phenylbutazone_0_8h_1	400	micromolar	NA	tg_gates_003017023021.CEL		
phenylbutazone_400_8h_2	not specified	phenylbutazone	CHEMBL101	NA	FALSE	phenylbutazone_0_8h_2	400	micromolar	NA	tg_gates_003017023022.CEL		
phenylbutazone_0_24h_1	not specified	phenylbutazone	CHEMBL101	NA	TRUE		0	micromolar	NA	tg_gates_003017023023.CEL		
phenylbutazone_0_24h_2	not specified	phenylbutazone	CHEMBL101	NA	TRUE		0	micromolar	NA	tg_gates_003017023024.CEL		
phenylbutazone_16_24h_1	not specified	phenylbutazone	CHEMBL101	NA	FALSE	phenylbutazone_0_24h_1	16	micromolar	NA	tg_gates_003017023025.CEL		
phenylbutazone_16_24h_2	not specified	phenylbutazone	CHEMBL101	NA	FALSE	phenylbutazone_0_24h_2	16	micromolar	NA	tg_gates_003017023026.CEL		
phenylbutazone_80_24h_1	not specified	phenylbutazone	CHEMBL101	NA	FALSE	phenylbutazone_0_24h_1	80	micromolar	NA	tg_gates_003017023027.CEL		
phenylbutazone_80_24h_2	not specified	phenylbutazone	CHEMBL101	NA	FALSE	phenylbutazone_0_24h_2	80	micromolar	NA	tg_gates_003017023028.CEL		
phenylbutazone_400_24h_1	not specified	phenylbutazone	CHEMBL101	NA	FALSE	phenylbutazone_0_24h_1	400	micromolar	NA	tg_gates_003017023029.CEL		
