Characteristics.Subject.ID.	Characteristics.Strain.	Factor.Value.Compound.	Comment.chEMBL.ID.	Characteristics.Compound.Class.	Characteristics.Control.	Characteristics.Sample.Match.	Factor.Value.Dose.	Characteristics.DoseUnit.	Characteristics.Vehicle.	array_file			control_file	final_array_name	
100946	RHCYT	chlorpromazine	CHEMBL71	NA	FALSE	control_1	43.9	micromolar	DMSO .1 %	drugmatrix_100946.CEL			100935.CEL;100937.CEL;100939.CEL;100941.CEL;100943.CEL;100945.CEL	93765.CEL	93759.CEL
100976	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_100976.CEL			100976.CEL	93768.CEL	93940.CEL
100977	RHCYT	busulfan	CHEMBL820	NA	FALSE	control_1	500	micromolar	DMSO .1 %	drugmatrix_100977.CEL			100976.CEL	93777.CEL	93759.CEL
93595	RHCYT	busulfan	CHEMBL820	NA	FALSE	control_1	500	micromolar	DMSO .1 %	drugmatrix_100977.CEL			100976.CEL	93780.CEL	93759.CEL
100978	RHCYT	busulfan	CHEMBL820	NA	FALSE	control_1	250	micromolar	DMSO .1 %	drugmatrix_100978.CEL			100976.CEL	93782.CEL	93940.CEL
100979	RHCYT	busulfan	CHEMBL820	NA	FALSE	control_1	125	micromolar	DMSO .1 %	drugmatrix_100979.CEL			100976.CEL	93783.CEL	93940.CEL
100980	RHCYT	carbon tetrachloride	CHEMBL44814	NA	FALSE	control_1	775	micromolar	DMSO .1 %	drugmatrix_100980.CEL			100976.CEL	93786.CEL	93759.CEL
93695	RHCYT	carbon tetrachloride	CHEMBL44814	NA	FALSE	control_1	775	micromolar	DMSO .1 %	drugmatrix_100980.CEL			100976.CEL	93789.CEL	93940.CEL
100981	RHCYT	carbon tetrachloride	CHEMBL44814	NA	FALSE	control_1	387.5	micromolar	DMSO .1 %	drugmatrix_100981.CEL			100976.CEL	93800.CEL	93940.CEL
100982	RHCYT	carbon tetrachloride	CHEMBL44814	NA	FALSE	control_1	193.7	micromolar	DMSO .1 %	drugmatrix_100982.CEL			100976.CEL	93940.CEL	93940.CEL
100983	RHCYT	clofibrate	CHEMBL683	NA	FALSE	control_1	500	micromolar	DMSO .1 %	drugmatrix_100983.CEL			100976.CEL	93801.CEL	93759.CEL
100984	RHCYT	clofibrate	CHEMBL683	NA	FALSE	control_1	250	micromolar	DMSO .1 %	drugmatrix_100984.CEL			100976.CEL	93802.CEL	93940.CEL
100985	RHCYT	clofibrate	CHEMBL683	NA	FALSE	control_1	125	micromolar	DMSO .1 %	drugmatrix_100985.CEL			100976.CEL	93804.CEL	93940.CEL
100986	RHCYT	omeprazole	CHEMBL1503	NA	FALSE	control_1	435	micromolar	DMSO .1 %	drugmatrix_100986.CEL			100976.CEL	93969.CEL	93759.CEL
100987	RHCYT	omeprazole	CHEMBL1503	NA	FALSE	control_1	365	micromolar	DMSO .1 %	drugmatrix_100987.CEL			100976.CEL	93806.CEL	93759.CEL
100988	RHCYT	allyl alcohol	CHEMBL234926	NA	FALSE	control_1	40	micromolar	DMSO .1 %	drugmatrix_100988.CEL			100976.CEL	93807.CEL	93759.CEL
100989	RHCYT	allyl alcohol	CHEMBL234926	NA	FALSE	control_1	30	micromolar	DMSO .1 %	drugmatrix_100989.CEL			100976.CEL	93873.CEL	93759.CEL
93332	RHCYT	allyl alcohol	CHEMBL234926	NA	FALSE	control_1	30	micromolar	DMSO .1 %	drugmatrix_100989.CEL			100976.CEL	94212.CEL	93940.CEL
100990	RHCYT	allyl alcohol	CHEMBL234926	NA	FALSE	control_1	20	micromolar	DMSO .1 %	drugmatrix_100990.CEL			100976.CEL	93874.CEL	93759.CEL
100991	RHCYT	methapyrilene	CHEMBL1411979	NA	FALSE	control_1	500	micromolar	DMSO .1 %	drugmatrix_100991.CEL			100976.CEL	93336.CEL	93385.CEL
100992	RHCYT	methapyrilene	CHEMBL1411979	NA	FALSE	control_1	300	micromolar	DMSO .1 %	drugmatrix_100992.CEL			100976.CEL	93339.CEL	93385.CEL
100993	RHCYT	methapyrilene	CHEMBL1411979	NA	FALSE	control_1	100	micromolar	DMSO .1 %	drugmatrix_100993.CEL			100976.CEL	93514.CEL	93385.CEL
100994	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_100994.CEL			100994.CEL;101013.CEL	93345.CEL	93372.CEL
100995	RHCYT	busulfan	CHEMBL820	NA	FALSE	control_1	500	micromolar	DMSO .1 %	drugmatrix_100995.CEL			100994.CEL;101013.CEL	93346.CEL	93372.CEL
93664	RHCYT	busulfan	CHEMBL820	NA	FALSE	control_1	500	micromolar	DMSO .1 %	drugmatrix_100995.CEL			100994.CEL;101013.CEL	93353.CEL	93372.CEL
100996	RHCYT	busulfan	CHEMBL820	NA	FALSE	control_1	250	micromolar	DMSO .1 %	drugmatrix_100996.CEL			100994.CEL;101013.CEL	93357.CEL	93372.CEL
100997	RHCYT	busulfan	CHEMBL820	NA	FALSE	control_1	125	micromolar	DMSO .1 %	drugmatrix_100997.CEL			100994.CEL;101013.CEL	93360.CEL	93372.CEL
100998	RHCYT	carbon tetrachloride	CHEMBL44814	NA	FALSE	control_1	775	micromolar	DMSO .1 %	drugmatrix_100998.CEL			100994.CEL;101013.CEL	93361.CEL	93372.CEL
93713	RHCYT	carbon tetrachloride	CHEMBL44814	NA	FALSE	control_1	775	micromolar	DMSO .1 %	drugmatrix_100998.CEL			100994.CEL;101013.CEL	93364.CEL	93385.CEL
100999	RHCYT	carbon tetrachloride	CHEMBL44814	NA	FALSE	control_1	387.5	micromolar	DMSO .1 %	drugmatrix_100999.CEL			100994.CEL;101013.CEL	93366.CEL	93385.CEL
101000	RHCYT	carbon tetrachloride	CHEMBL44814	NA	FALSE	control_1	193.7	micromolar	DMSO .1 %	drugmatrix_101000.CEL			100994.CEL;101013.CEL	93367.CEL	93372.CEL
101002	RHCYT	clofibrate	CHEMBL683	NA	FALSE	control_1	250	micromolar	DMSO .1 %	drugmatrix_101002.CEL			100994.CEL;101013.CEL	93370.CEL	93372.CEL
101003	RHCYT	clofibrate	CHEMBL683	NA	FALSE	control_1	125	micromolar	DMSO .1 %	drugmatrix_101003.CEL			100994.CEL;101013.CEL	93371.CEL	93372.CEL
101004	RHCYT	omeprazole	CHEMBL1503	NA	FALSE	control_1	435	micromolar	DMSO .1 %	drugmatrix_101004.CEL			100994.CEL;101013.CEL	93372.CEL	93372.CEL
101005	RHCYT	omeprazole	CHEMBL1503	NA	FALSE	control_1	400	micromolar	DMSO .1 %	drugmatrix_101005.CEL			100994.CEL;101013.CEL	93375.CEL	93372.CEL
101006	RHCYT	omeprazole	CHEMBL1503	NA	FALSE	control_1	365	micromolar	DMSO .1 %	drugmatrix_101006.CEL			100994.CEL;101013.CEL	93378.CEL	93385.CEL
101007	RHCYT	allyl alcohol	CHEMBL234926	NA	FALSE	control_1	40	micromolar	DMSO .1 %	drugmatrix_101007.CEL			100994.CEL;101013.CEL	93379.CEL	93385.CEL
101008	RHCYT	allyl alcohol	CHEMBL234926	NA	FALSE	control_1	30	micromolar	DMSO .1 %	drugmatrix_101008.CEL			100994.CEL;101013.CEL	93384.CEL	93385.CEL
93371	RHCYT	allyl alcohol	CHEMBL234926	NA	FALSE	control_1	30	micromolar	DMSO .1 %	drugmatrix_101008.CEL			100994.CEL;101013.CEL	93385.CEL	93385.CEL
101009	RHCYT	allyl alcohol	CHEMBL234926	NA	FALSE	control_1	20	micromolar	DMSO .1 %	drugmatrix_101009.CEL			100994.CEL;101013.CEL	93388.CEL	93385.CEL
101010	RHCYT	methapyrilene	CHEMBL1411979	NA	FALSE	control_1	500	micromolar	DMSO .1 %	drugmatrix_101010.CEL			100994.CEL;101013.CEL	93392.CEL	93385.CEL
101011	RHCYT	methapyrilene	CHEMBL1411979	NA	FALSE	control_1	300	micromolar	DMSO .1 %	drugmatrix_101011.CEL			100994.CEL;101013.CEL	93588.CEL	93301.CEL
101012	RHCYT	methapyrilene	CHEMBL1411979	NA	FALSE	control_1	100	micromolar	DMSO .1 %	drugmatrix_101012.CEL			100994.CEL;101013.CEL	93278.CEL	93278.CEL
101013	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_101013.CEL			100994.CEL;101013.CEL	93573.CEL	93301.CEL
101014	RHCYT	busulfan	CHEMBL820	NA	FALSE	control_1	500	micromolar	DMSO .1 %	drugmatrix_101014.CEL			100994.CEL;101013.CEL	93312.CEL	93301.CEL
93936	RHCYT	busulfan	CHEMBL820	NA	FALSE	control_1	500	micromolar	DMSO .1 %	drugmatrix_101014.CEL			100994.CEL;101013.CEL	93279.CEL	93278.CEL
101015	RHCYT	busulfan	CHEMBL820	NA	FALSE	control_1	250	micromolar	DMSO .1 %	drugmatrix_101015.CEL			100994.CEL;101013.CEL	93280.CEL	93301.CEL
101016	RHCYT	busulfan	CHEMBL820	NA	FALSE	control_1	125	micromolar	DMSO .1 %	drugmatrix_101016.CEL			100994.CEL;101013.CEL	93574.CEL	93301.CEL
101017	RHCYT	carbon tetrachloride	CHEMBL44814	NA	FALSE	control_1	775	micromolar	DMSO .1 %	drugmatrix_101017.CEL			100994.CEL;101013.CEL	93510.CEL	93278.CEL
93782	RHCYT	carbon tetrachloride	CHEMBL44814	NA	FALSE	control_1	775	micromolar	DMSO .1 %	drugmatrix_101017.CEL			100994.CEL;101013.CEL	93283.CEL	93301.CEL
101018	RHCYT	carbon tetrachloride	CHEMBL44814	NA	FALSE	control_1	387.5	micromolar	DMSO .1 %	drugmatrix_101018.CEL			100994.CEL;101013.CEL	93284.CEL	93301.CEL
101019	RHCYT	carbon tetrachloride	CHEMBL44814	NA	FALSE	control_1	193.7	micromolar	DMSO .1 %	drugmatrix_101019.CEL			100994.CEL;101013.CEL	93286.CEL	93301.CEL
101020	RHCYT	clofibrate	CHEMBL683	NA	FALSE	control_1	500	micromolar	DMSO .1 %	drugmatrix_101020.CEL			100994.CEL;101013.CEL	93315.CEL	93278.CEL
101021	RHCYT	clofibrate	CHEMBL683	NA	FALSE	control_1	250	micromolar	DMSO .1 %	drugmatrix_101021.CEL			100994.CEL;101013.CEL	93288.CEL	93278.CEL
101023	RHCYT	omeprazole	CHEMBL1503	NA	FALSE	control_1	435	micromolar	DMSO .1 %	drugmatrix_101023.CEL			100994.CEL;101013.CEL	93289.CEL	93301.CEL
101024	RHCYT	omeprazole	CHEMBL1503	NA	FALSE	control_1	400	micromolar	DMSO .1 %	drugmatrix_101024.CEL			100994.CEL;101013.CEL	93290.CEL	93278.CEL
101025	RHCYT	omeprazole	CHEMBL1503	NA	FALSE	control_1	365	micromolar	DMSO .1 %	drugmatrix_101025.CEL			100994.CEL;101013.CEL	93291.CEL	93278.CEL
101026	RHCYT	allyl alcohol	CHEMBL234926	NA	FALSE	control_1	40	micromolar	DMSO .1 %	drugmatrix_101026.CEL			100994.CEL;101013.CEL	93318.CEL	93278.CEL
101027	RHCYT	allyl alcohol	CHEMBL234926	NA	FALSE	control_1	30	micromolar	DMSO .1 %	drugmatrix_101027.CEL			100994.CEL;101013.CEL	93298.CEL	93301.CEL
93401	RHCYT	allyl alcohol	CHEMBL234926	NA	FALSE	control_1	30	micromolar	DMSO .1 %	drugmatrix_101027.CEL			100994.CEL;101013.CEL	93301.CEL	93301.CEL
101028	RHCYT	allyl alcohol	CHEMBL234926	NA	FALSE	control_1	20	micromolar	DMSO .1 %	drugmatrix_101028.CEL			100994.CEL;101013.CEL	93512.CEL	93278.CEL
101029	RHCYT	methapyrilene	CHEMBL1411979	NA	FALSE	control_1	500	micromolar	DMSO .1 %	drugmatrix_101029.CEL			100994.CEL;101013.CEL	93304.CEL	93278.CEL
101030	RHCYT	methapyrilene	CHEMBL1411979	NA	FALSE	control_1	300	micromolar	DMSO .1 %	drugmatrix_101030.CEL			100994.CEL;101013.CEL	93321.CEL	93278.CEL
101031	RHCYT	methapyrilene	CHEMBL1411979	NA	FALSE	control_1	100	micromolar	DMSO .1 %	drugmatrix_101031.CEL			100994.CEL;101013.CEL	93322.CEL	93278.CEL
101032	RHCYT	omeprazole	CHEMBL1503	NA	FALSE	control_1	400	micromolar	DMSO .1 %	drugmatrix_101032.CEL			100976.CEL	93306.CEL	93301.CEL
101116	RHCYT	clofibrate	CHEMBL683	NA	FALSE	control_1	500	micromolar	DMSO .1 %	drugmatrix_101116.CEL			100994.CEL;101013.CEL	93307.CEL	93278.CEL
101117	RHCYT	clofibrate	CHEMBL683	NA	FALSE	control_1	125	micromolar	DMSO .1 %	drugmatrix_101117.CEL			100994.CEL;101013.CEL	93324.CEL	93301.CEL
92998	RHCYT	tenidap	CHEMBL1908355	NA	FALSE	control_0.67	41	micromolar	DMSO .1 %	drugmatrix_92998.CEL			93036.CEL	93327.CEL	93278.CEL
92999	RHCYT	fluphenazine	CHEMBL726	NA	FALSE	control_0.67	45	micromolar	DMSO .1 %	drugmatrix_92999.CEL			93036.CEL	93328.CEL	93301.CEL
93000	RHCYT	sulconazole	CHEMBL1221	NA	FALSE	control_1	40	micromolar	DMSO .1 %	drugmatrix_93000.CEL			93014.CEL	93330.CEL	93278.CEL
93001	RHCYT	tgf beta-1, human recombinant		NA	FALSE	control_0.67	5 ng/ml	micromolar	DMSO .1 %	drugmatrix_93001.CEL			93036.CEL	93332.CEL	93301.CEL
93002	RHCYT	zidovudine	CHEMBL129	NA	FALSE	control_1	14800	micromolar	DMSO .1 %	drugmatrix_93002.CEL			93028.CEL	93396.CEL	93396.CEL
93003	RHCYT	itraconazole	CHEMBL22587	NA	FALSE	control_1	10	micromolar	DMSO .1 %	drugmatrix_93003.CEL			93028.CEL	93398.CEL	93448.CEL
93004	RHCYT	doxepin	CHEMBL101740	NA	FALSE	control_0.67	132	micromolar	DMSO .1 %	drugmatrix_93004.CEL			93070.CEL	93401.CEL	93448.CEL
93005	RHCYT	sirolimus	CHEMBL413	NA	FALSE	control_0.67	20	micromolar	DMSO .1 %	drugmatrix_93005.CEL			93036.CEL	93403.CEL	93448.CEL
93006	RHCYT	venlafaxine	CHEMBL637	NA	FALSE	control_0.67	1481	micromolar	DMSO .1 %	drugmatrix_93006.CEL			93070.CEL	93404.CEL	93448.CEL
93007	RHCYT	idarubicin	CHEMBL1117	NA	FALSE	control_0.67	1.5	micromolar	DMSO .1 %	drugmatrix_93007.CEL			93036.CEL	93406.CEL	93396.CEL
93008	RHCYT	buthionine sulfoximine	CHEMBL1609891	NA	FALSE	control_1	100000	micromolar	DMSO .1 %	drugmatrix_93008.CEL			93028.CEL	93407.CEL	93396.CEL
93009	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_93009.CEL			93009.CEL	93409.CEL	93396.CEL
93010	RHCYT	fenofibrate	CHEMBL981	NA	FALSE	control_0.67	250	micromolar	DMSO .1 %	drugmatrix_93010.CEL			93070.CEL	93410.CEL	93448.CEL
93011	RHCYT	amitriptyline	CHEMBL629	NA	FALSE	control_0.67	72	micromolar	DMSO .1 %	drugmatrix_93011.CEL			93036.CEL	93414.CEL	93396.CEL
93012	RHCYT	nortriptyline	CHEMBL445	NA	FALSE	control_1	70	micromolar	DMSO .1 %	drugmatrix_93012.CEL			93029.CEL	93415.CEL	93448.CEL
93013	RHCYT	clofibrate	CHEMBL683	NA	FALSE	control_1	500	micromolar	DMSO .1 %	drugmatrix_93013.CEL			93028.CEL	93416.CEL	93448.CEL
93014	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_93014.CEL			93014.CEL	93417.CEL	93448.CEL
93015	RHCYT	clofibrate	CHEMBL683	NA	FALSE	control_0.67	500	micromolar	DMSO .1 %	drugmatrix_93015.CEL			93070.CEL	93419.CEL	93396.CEL
93016	RHCYT	gemfibrozil	CHEMBL457	NA	FALSE	control_1	2000	micromolar	DMSO .1 %	drugmatrix_93016.CEL			93009.CEL	93420.CEL	93396.CEL
93017	RHCYT	labetalol	CHEMBL429	NA	FALSE	control_1	250	micromolar	DMSO .1 %	drugmatrix_93017.CEL			93014.CEL	93966.CEL	93448.CEL
93018	RHCYT	sirolimus	CHEMBL413	NA	FALSE	control_1	20	micromolar	DMSO .1 %	drugmatrix_93018.CEL			93029.CEL	93428.CEL	93448.CEL
93019	RHCYT	nortriptyline	CHEMBL445	NA	FALSE	control_0.67	70	micromolar	DMSO .1 %	drugmatrix_93019.CEL			93036.CEL	93430.CEL	93448.CEL
93020	RHCYT	3-methylcholanthrene	CHEMBL40583	NA	FALSE	control_1	23	micromolar	DMSO .1 %	drugmatrix_93020.CEL			93028.CEL	93432.CEL	93448.CEL
93021	RHCYT	cytochalasin B	CHEMBL411729	NA	FALSE	control_0.67	167	micromolar	DMSO .1 %	drugmatrix_93021.CEL			93070.CEL	93436.CEL	93396.CEL
93022	RHCYT	acetaminophen	CHEMBL112	NA	FALSE	control_1	1950	micromolar	DMSO .1 %	drugmatrix_93022.CEL			93014.CEL	93437.CEL	93448.CEL
93023	RHCYT	amitriptyline	CHEMBL629	NA	FALSE	control_1	72	micromolar	DMSO .1 %	drugmatrix_93023.CEL			93029.CEL	93438.CEL	93396.CEL
93025	RHCYT	cytochalasin B	CHEMBL411729	NA	FALSE	control_1	167	micromolar	DMSO .1 %	drugmatrix_93025.CEL			93028.CEL	93441.CEL	93396.CEL
93026	RHCYT	acetaminophen	CHEMBL112	NA	FALSE	control_0.67	1950	micromolar	DMSO .1 %	drugmatrix_93026.CEL			93067.CEL	93446.CEL	93396.CEL
93027	RHCYT	3-methylcholanthrene	CHEMBL40583	NA	FALSE	control_0.67	23	micromolar	DMSO .1 %	drugmatrix_93027.CEL			93070.CEL	93447.CEL	93396.CEL
93028	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_93028.CEL			93028.CEL	93448.CEL	93448.CEL
93029	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_93029.CEL			93029.CEL	93449.CEL	93448.CEL
93030	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_93030.CEL			93030.CEL	93451.CEL	93396.CEL
93031	RHCYT	venlafaxine	CHEMBL637	NA	FALSE	control_1	1481	micromolar	DMSO .1 %	drugmatrix_93031.CEL			93028.CEL	93452.CEL	93396.CEL
93032	RHCYT	nimesulide	CHEMBL56367	NA	FALSE	control_0.67	61.7	micromolar	DMSO .1 %	drugmatrix_93032.CEL			93031.CEL	93455.CEL	93396.CEL
93033	RHCYT	buthionine sulfoximine	CHEMBL1609891	NA	FALSE	control_0.67	100000	micromolar	DMSO .1 %	drugmatrix_93033.CEL			93070.CEL	93473.CEL	93478.CEL
93034	RHCYT	Vinblastine	CHEMBL159	NA	FALSE	control_1	45	micromolar	DMSO .1 %	drugmatrix_93034.CEL			93028.CEL	93477.CEL	93478.CEL
93035	RHCYT	idarubicin	CHEMBL1117	NA	FALSE	control_1	1.5	micromolar	DMSO .1 %	drugmatrix_93035.CEL			93029.CEL	93478.CEL	93478.CEL
93036	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_93036.CEL			93036.CEL	93481.CEL	93485.CEL
93038	RHCYT	doxepin	CHEMBL101740	NA	FALSE	control_1	132	micromolar	DMSO .1 %	drugmatrix_93038.CEL			93028.CEL	93967.CEL	93486.CEL
93065	RHCYT	tgf beta-1, human recombinant		NA	FALSE	control_1	5 ng/ml	micromolar	DMSO .1 %	drugmatrix_93065.CEL			93029.CEL	93485.CEL	93487.CEL
93066	RHCYT	carvedilol	CHEMBL723	NA	FALSE	control_0.67	50	micromolar	DMSO .1 %	drugmatrix_93066.CEL			93067.CEL	93493.CEL	93488.CEL
93067	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_93067.CEL			93067.CEL	93498.CEL	93489.CEL
93068	RHCYT	sulconazole	CHEMBL1221	NA	FALSE	control_0.67	40	micromolar	DMSO .1 %	drugmatrix_93068.CEL			93067.CEL	93501.CEL	93478.CEL
93069	RHCYT	zidovudine	CHEMBL129	NA	FALSE	control_0.67	14800	micromolar	DMSO .1 %	drugmatrix_93069.CEL			93070.CEL	93505.CEL	93478.CEL
93070	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_93070.CEL			93070.CEL	93397.CEL	93397.CEL
93071	RHCYT	fenofibrate	CHEMBL981	NA	FALSE	control_1	250	micromolar	DMSO .1 %	drugmatrix_93071.CEL			93028.CEL	93399.CEL	93397.CEL
93072	RHCYT	tenidap	CHEMBL1908355	NA	FALSE	control_1	41	micromolar	DMSO .1 %	drugmatrix_93072.CEL			93029.CEL	93400.CEL	93397.CEL
93073	RHCYT	sotalol	CHEMBL471	NA	FALSE	control_0.67	6666	micromolar	DMSO .1 %	drugmatrix_93073.CEL			93067.CEL	93402.CEL	93397.CEL
93074	RHCYT	fluphenazine	CHEMBL726	NA	FALSE	control_1	45	micromolar	DMSO .1 %	drugmatrix_93074.CEL			93029.CEL	93408.CEL	93397.CEL
93075	RHCYT	D-galactosamine	CHEMBL606759	NA	FALSE	control_0.67	470	micromolar	DMSO .1 %	drugmatrix_93075.CEL			93067.CEL	93411.CEL	93397.CEL
93076	RHCYT	danazol	CHEMBL1479	NA	FALSE	control_1	95	micromolar	DMSO .1 %	drugmatrix_93076.CEL			93029.CEL	93412.CEL	93412.CEL
93077	RHCYT	labetalol	CHEMBL429	NA	FALSE	control_0.67	250	micromolar	DMSO .1 %	drugmatrix_93077.CEL			93067.CEL	93413.CEL	93412.CEL
93078	RHCYT	sporidesmin a		NA	FALSE	control_1	0.15	micromolar	DMSO .1 %	drugmatrix_93078.CEL			93029.CEL	93849.CEL	93397.CEL
93079	RHCYT	Vinblastine	CHEMBL159	NA	FALSE	control_0.67	45	micromolar	DMSO .1 %	drugmatrix_93079.CEL			93070.CEL	93418.CEL	93397.CEL
93080	RHCYT	itraconazole	CHEMBL22587	NA	FALSE	control_0.67	10	micromolar	DMSO .1 %	drugmatrix_93080.CEL			93070.CEL	93421.CEL	93412.CEL
93081	RHCYT	D-galactosamine	CHEMBL606759	NA	FALSE	control_1	470	micromolar	DMSO .1 %	drugmatrix_93081.CEL			93014.CEL	93422.CEL	93412.CEL
93082	RHCYT	danazol	CHEMBL1479	NA	FALSE	control_0.67	95	micromolar	DMSO .1 %	drugmatrix_93082.CEL			93036.CEL	93423.CEL	93397.CEL
93083	RHCYT	labetalol	CHEMBL429	NA	FALSE	control_0.67	250	micromolar	DMSO .1 %	drugmatrix_93083.CEL			93097.CEL	93424.CEL	93412.CEL
93084	RHCYT	tenidap	CHEMBL1908355	NA	FALSE	control_0.67	41	micromolar	DMSO .1 %	drugmatrix_93084.CEL			93127.CEL	93426.CEL	93412.CEL
93085	RHCYT	acetaminophen	CHEMBL112	NA	FALSE	control_0.67	1950	micromolar	DMSO .1 %	drugmatrix_93085.CEL			93097.CEL	93427.CEL	93412.CEL
93086	RHCYT	tgf beta-1, human recombinant		NA	FALSE	control_1	5 ng/ml	micromolar	DMSO .1 %	drugmatrix_93086.CEL			93123.CEL	93429.CEL	93397.CEL
93087	RHCYT	Vinblastine	CHEMBL159	NA	FALSE	control_0.67	45	micromolar	DMSO .1 %	drugmatrix_93087.CEL			93116.CEL	93433.CEL	93397.CEL
93088	RHCYT	amitriptyline	CHEMBL629	NA	FALSE	control_0.67	72	micromolar	DMSO .1 %	drugmatrix_93088.CEL			93127.CEL	93434.CEL	93397.CEL
93089	RHCYT	haloperidol	CHEMBL54	NA	FALSE	control_1	77	micromolar	DMSO .1 %	drugmatrix_93089.CEL			93110.CEL	93435.CEL	93412.CEL
93090	RHCYT	azathioprine	CHEMBL1542	NA	FALSE	control_1	0.5	micromolar	DMSO .1 %	drugmatrix_93090.CEL			93110.CEL	93439.CEL	93412.CEL
93091	RHCYT	doxepin	CHEMBL101740	NA	FALSE	control_1	132	micromolar	DMSO .1 %	drugmatrix_93091.CEL			93124.CEL	93440.CEL	93412.CEL
93092	RHCYT	quetiapine	CHEMBL716	NA	FALSE	control_1	150	micromolar	DMSO .1 %	drugmatrix_93092.CEL			93110.CEL	93443.CEL	93412.CEL
93093	RHCYT	ethanol	CHEMBL545	NA	FALSE	control_0.67	180000	micromolar	DMSO .1 %	drugmatrix_93093.CEL			93096.CEL	93444.CEL	93397.CEL
93094	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_93094.CEL			93094.CEL	93445.CEL	93412.CEL
93095	RHCYT	cytochalasin B	CHEMBL411729	NA	FALSE	control_0.67	167	micromolar	DMSO .1 %	drugmatrix_93095.CEL			93116.CEL	93453.CEL	93412.CEL
93096	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_93096.CEL			93096.CEL	93338.CEL	93352.CEL
93097	RHCYT			NA	TRUE		0	micromolar	DMSO .1 %	drugmatrix_93097.CEL			93097.CEL	93340.CEL	93395.CEL
93098	RHCYT	Vinblastine	CHEMBL159	NA	FALSE	control_1	45	micromolar	DMSO .1 %	drugmatrix_93098.CEL			93124.CEL	93341.CEL	93395.CEL
