LTKBID,PubChem_CID,LabelCompoundName,DILIConcern,SeverityClass,AdjudicatedDILI,vDILIConcern,Greene_Annotation,Sakatis_Annotation,Xu_Annotation,Zhu_Annotation,SMILES,STD_SMILES
LT01716,4993.0,pyrimethamine,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,HH,,Positive,Postive,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,
LT00429,4614.0,oxaprozin,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,HH,,Positive,Postive,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3,
LT02041,18381.0,dicloxacillin,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,HH,,Positive,Postive,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,
LT00059,44093.0,captopril,LESS-DILI-CONCERN,7,Yes,VLESS-DILI-CONCERN,HH,,Positive,Postive,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,
LT00393,5281011.0,doxycycline,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,HH,,Positive,Postive,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)/C(=C(\N)/O)/C(=O)[C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)N(C)C)O,
LT01167,2610.0,cefadroxil,LESS-DILI-CONCERN,7,Yes,VLESS-DILI-CONCERN,HH,,Positive,Postive,CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)SC1)C(=O)O,
LT01433,3639.0,hydrochlorothiazide,LESS-DILI-CONCERN,2,Yes,VLESS-DILI-CONCERN,HH,,Positive,Postive,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,
LT01492,5362119.0,lisinopril,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,HH,,Positive,Postive,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O,
LT01545,4158.0,methylphenidate,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,HH,,Positive,Postive,COC(=O)C(C1CCCCN1)C2=CC=CC=C2,
LT01723,54892.0,quinapril,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,HH,,Positive,Postive,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CC3=CC=CC=C3C[C@H]2C(=O)O,
LT00252,2662.0,celecoxib,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,,,Positive,Postive,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,
LT00018,3386.0,fluoxetine,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,WE,non-hepatotixic,Negative,Postive,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,
LT00128,43815.0,paroxetine,LESS-DILI-CONCERN,8,Yes,VLESS-DILI-CONCERN,WE,non-hepatotixic,Negative,Postive,C1CNC[C@H]([C@@H]1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4,
LT00625,68617.0,sertraline,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,WE,non-hepatotixic,Negative,Postive,CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,
LT00507,33613.0,amoxicillin,LESS-DILI-CONCERN,5,Yes,VLESS-DILI-CONCERN,WE,non-hepatotixic,Negative,Postive,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,
LT01857,60846.0,valsartan,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,WE,non-hepatotixic,Negative,Postive,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)[C@@H](C(C)C)C(=O)O,
LT00142,54454.0,simvastatin,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,,non-hepatotixic,Negative,Postive,CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,
LT00576,53232.0,lovastatin,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,,non-hepatotixic,Negative,Postive,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,
LT00593,1302.0,naproxen,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,WE,Hepatotoxic,Negative,Postive,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,
LT00199,3672.0,ibuprofen,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,WE,Hepatotoxic,Negative,Postive,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,
LT00047,2160.0,amitriptyline,LESS-DILI-CONCERN,5,Yes,VLESS-DILI-CONCERN,WE,Hepatotoxic,Negative,Postive,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,
LT00138,3001055.0,ranitidine,LESS-DILI-CONCERN,5,Yes,VLESS-DILI-CONCERN,WE,Hepatotoxic,Negative,Postive,CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C,
LT00265,55185.0,azithromycin,LESS-DILI-CONCERN,7,Yes,VLESS-DILI-CONCERN,WE,Hepatotoxic,Negative,Postive,CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H](C([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,
LT00569,60825.0,lamivudine,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,WE,,Negative,Postive,C1[C@H](O[C@H](S1)CO)N2C=CC(=NC2=O)N,
LT00332,2520.0,verapamil,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,WE,,Negative,Postive,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,
LT00058,444.0,bupropion,LESS-DILI-CONCERN,5,Yes,VLESS-DILI-CONCERN,WE,,Negative,Postive,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,
LT00300,3446.0,gabapentin,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,NE,,Negative,Postive,C1CCC(CC1)(CC(=O)O)CN,
LT00277,2249.0,atenolol,LESS-DILI-CONCERN,4,Yes,VLESS-DILI-CONCERN,NE,,Negative,Postive,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,
LT01705,4932.0,propafenone,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,NE,,Negative,Postive,CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O,
LT02070,16231.0,amiloride,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,NE,,Negative,Postive,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,
LT01708,4943.0,propofol,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,NE,,Negative,Postive,CC(C)C1=C(C(=CC=C1)C(C)C)O,
LT00117,54677470.0,meloxicam,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,,,Negative,Postive,CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O,
LT00172,1548972.0,fluvastatin,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,,,Negative,Postive,CC(C)N1C2=CC=CC=C2C(=C1/C=C/[C@@H](C[C@@H](CC(=O)O)O)O)C3=CC=C(C=C3)F,
LT00455,5284627.0,topiramate,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,,,Negative,Postive,CC1(O[C@@H]2CO[C@@]3([C@H]([C@@H]2O1)OC(O3)(C)C)COS(=O)(=O)N)C,
LT00186,54687.0,pravastatin,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,,non-hepatotixic,,Postive,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@H](C[C@H](CC(=O)O)O)O)O,
LT00589,4236.0,modafinil,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,,non-hepatotixic,,Postive,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N,
LT00175,2162.0,amlodipine,LESS-DILI-CONCERN,5,Yes,VLESS-DILI-CONCERN,,non-hepatotixic,,Postive,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,
LT00206,4594.0,omeprazole,LESS-DILI-CONCERN,4,Yes,VLESS-DILI-CONCERN,,non-hepatotixic,,Postive,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,
LT00174,5656.0,venlafaxine,LESS-DILI-CONCERN,7,Yes,VLESS-DILI-CONCERN,,non-hepatotixic,,Postive,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,
LT00030,4763.0,phenobarbital,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,,Hepatotoxic,,Postive,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,
LT00559,3637.0,hydralazine,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,,Hepatotoxic,,Postive,C1=CC=C2C(=C1)C=NN=C2NN,
LT00222,6010.0,methyltestosterone,LESS-DILI-CONCERN,2,Yes,VLESS-DILI-CONCERN,,,,Postive,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@]4(C)O)C,
LT00267,5002.0,quetiapine,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,,,,Postive,C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42,
LT01056,34312.0,oxcarbazepine,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,,,,Postive,C1C2=CC=CC=C2N(C3=CC=CC=C3C1=O)C(=O)N,
LT01153,150311.0,ezetimibe,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,,,,Postive,C1=CC(=CC=C1[C@@H]2[C@H](C(=O)N2C3=CC=C(C=C3)F)CC[C@@H](C4=CC=C(C=C4)F)O)O,
LT01309,148124.0,docetaxel,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,,,,Postive,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,
LT01618,383414.0,octreotide,LESS-DILI-CONCERN,2,Yes,VLESS-DILI-CONCERN,,,,Postive,CC(C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)NC(=O)C(CC5=CC=CC=C5)N)C(=O)NC(CO)C(C)O)O,
LT01614,4539.0,norfloxacin,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,,,,Postive,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,
LT01624,6196.0,oxacillin,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,,,,Postive,CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,
LT01684,5161.0,salsalate,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,,,,Postive,C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)O,
LT01766,9354.0,succimer,LESS-DILI-CONCERN,2,Yes,VLESS-DILI-CONCERN,,,,Postive,C(C(C(=O)O)S)(C(=O)O)S,
LT01971,119607.0,valdecoxib,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,,,,Postive,CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N,
LT01928,6439133.0,rosuvastatin,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,,,,Postive,CC(C)C1=NC(=NC(=C1/C=C/[C@@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C,
LT00296,5362032.0,enalapril,LESS-DILI-CONCERN,7,Yes,VLESS-DILI-CONCERN,,,,Postive,CCOC(=O)[C@@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)O,
LT00146,5215.0,sulfadiazine,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,,,,Postive,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,
LT00307,3883.0,lansoprazole,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,,,,Postive,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,
LT00309,4171.0,metoprolol,LESS-DILI-CONCERN,5,Yes,VLESS-DILI-CONCERN,,,,Postive,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,
LT00397,3333.0,felodipine,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,,,,Postive,CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C,
LT01171,656510.0,cefazolin,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,,,,Postive,CC1=NN=C(S1)SCC2=C(N3C([C@@H](C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)O,
LT01172,5479537.0,cefepime,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,,,,Postive,C[N+]1(CCCC1)CC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)[O-],
LT01166,40958.0,cefaclor,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,,,,Postive,C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)Cl,
LT01186,5361202.0,cefuroxime,LESS-DILI-CONCERN,5,Yes,VLESS-DILI-CONCERN,,,,Postive,CO/N=C(\C1=CC=CO1)/C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)O,
LT01856,60773.0,valaciclovir,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,,,,Postive,CC(C)[C@@H](C(=O)OCCOCN1C=NC2=C1NC(=NC2=O)N)N,
LT02008,152946.0,moxifloxacin,LESS-DILI-CONCERN,8,Yes,VLESS-DILI-CONCERN,,,,Postive,COC1=C2C(=CC(=C1N3C[C@@H]4CCCN[C@@H]4C3)F)C(=O)C(=CN2C5CC5)C(=O)O,
LT01012,64143.0,nelfinavir,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,,,,Postive,CC1=C(C=CC=C1O)C(=O)N[C@@H](CSC2=CC=CC=C2)[C@@H](CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C)O,
LT02026,3652.0,hydroxychloroquine,LESS-DILI-CONCERN,7,Yes,VLESS-DILI-CONCERN,,,,Postive,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO,
LT02929,146570.0,escitalopram,LESS-DILI-CONCERN,7,Yes,VLESS-DILI-CONCERN,,,,Postive,CN(C)CCC[C@@]1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,
LT01517,4053.0,melphalan,LESS-DILI-CONCERN,5,Yes,VLESS-DILI-CONCERN,,,,Postive,C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl,
LT01375,3356.0,flecainide,LESS-DILI-CONCERN,7,Yes,VLESS-DILI-CONCERN,HH,,Positive,Negative,C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F,
LT00049,6249.0,ampicillin,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,,,Negative,Negative,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C,
LT00841,15459.0,metaxalone,LESS-DILI-CONCERN,5,Yes,VLESS-DILI-CONCERN,,,,Negative,CC1=CC(=CC(=C1)OCC2CNC(=O)O2)C,
LT01141,71158.0,acamprosate,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,,,,Negative,CC(=O)NCCCS(=O)(=O)O,
LT01023,60606.0,clopidogrel,LESS-DILI-CONCERN,7,Yes,VLESS-DILI-CONCERN,,,,Negative,COC(=O)[C@H](C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3,
LT00532,2802.0,clonazepam,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,,,,Negative,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,
LT00192,5994.0,progesterone,LESS-DILI-CONCERN,2,Yes,VLESS-DILI-CONCERN,HH,non-hepatotixic,Positive,,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,
LT01499,3961.0,losartan,LESS-DILI-CONCERN,4,Yes,VLESS-DILI-CONCERN,HH,non-hepatotixic,Positive,,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl,
LT00011,2796.0,clofibrate,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,HH,non-hepatotixic,Positive,,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,
LT00313,4485.0,nifedipine,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,HH,Hepatotoxic,Positive,,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,
LT01679,5280452.0,piroxicam,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,HH,Hepatotoxic,Positive,,CN1/C(=C(\NC2=CC=CC=N2)/O)/C(=O)C3=CC=CC=C3S1(=O)=O,
LT01725,441074.0,quinidine,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,HH,Hepatotoxic,Positive,,COC1=CC2=C(C=CN=C2C=C1)[C@@H]([C@H]3C[C@@H]4CCN3C[C@@H]4C=C)O,
LT00094,36462.0,etoposide,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,HH,Hepatotoxic,Positive,,C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,
LT00379,2727.0,chlorpropamide,LESS-DILI-CONCERN,2,Yes,VLESS-DILI-CONCERN,HH,Hepatotoxic,Positive,,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,
LT00108,3696.0,imipramine,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,HH,Hepatotoxic,Positive,,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,
LT00437,4917.0,prochlorperazine,LESS-DILI-CONCERN,2,Yes,VLESS-DILI-CONCERN,HH,Hepatotoxic,Positive,,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl,
LT01565,4212.0,mitoxantrone,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,HH,,Positive,,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO,
LT00204,3826.0,ketorolac,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,HH,,Positive,,C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O,
LT00233,1548955.0,clomiphene,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,HH,,Positive,,CCN(CC)CCOC1=CC=C(C=C1)/C(=C(/C2=CC=CC=C2)\Cl)/C3=CC=CC=C3,
LT01235,6098.0,cloxacillin,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,HH,,Positive,,CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,
LT00308,4030.0,mebendazole,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,HH,,Positive,,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,
LT01923,8549.0,quinine,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,HH,,Positive,,COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3CC4CCN3C[C@@H]4C=C)O,
LT01746,60787.0,saquinavir,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,HH,,Positive,,CC(C)(C)NC(=O)[C@@H]1CC2CCCCC2CN1C[C@H]([C@H](CC3=CC=CC=C3)NC(=O)[C@H](CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O,
LT00430,36314.0,paclitaxel,LESS-DILI-CONCERN,4,Yes,VLESS-DILI-CONCERN,HH,,Positive,,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,
LT01862,5978.0,vincristine,LESS-DILI-CONCERN,8,Yes,VLESS-DILI-CONCERN,HH,,Positive,,CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,
LT00143,5833.0,spironolactone,LESS-DILI-CONCERN,2,Yes,VLESS-DILI-CONCERN,HH,,Positive,,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C,
LT00877,5403.0,terbutaline,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,HH,,Positive,,CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O,
LT01302,3114.0,disopyramide,LESS-DILI-CONCERN,2,Yes,VLESS-DILI-CONCERN,HH,,Positive,,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,
LT00139,6323490.0,rifabutin,LESS-DILI-CONCERN,5,Yes,VLESS-DILI-CONCERN,HH,,Positive,,C[C@H]1/C=C/C=C(\C(=O)NC2=C3C(=NC4(N3)CCN(CC4)CC(C)C)C5=C6C(=C(C(=C5C2=O)O)C)O[C@@](C6=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)/C,
LT01549,4168.0,metoclopramide,LESS-DILI-CONCERN,5,Yes,VLESS-DILI-CONCERN,HH,,Positive,,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,
LT01830,5533.0,trazodone,LESS-DILI-CONCERN,5,Yes,VLESS-DILI-CONCERN,HH,,Positive,,C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,
LT01735,5073.0,risperidone,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,HH,,Positive,,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,
LT00452,2723601.0,thioguanine,LESS-DILI-CONCERN,2,Yes,VLESS-DILI-CONCERN,HH,,Positive,,C1=NC2=C(N1)C(=S)N=C(N2)N,
LT00614,4915.0,procarbazine,LESS-DILI-CONCERN,3,Yes,VLESS-DILI-CONCERN,HH,,Positive,,CC(C)NC(=O)C1=CC=C(C=C1)CNNC,
LT00562,3690.0,ifosfamide,LESS-DILI-CONCERN,4,Yes,VLESS-DILI-CONCERN,HH,,Positive,,C1CN(P(=O)(OC1)NCCCl)CCCl,
