Source Name	Characteristics [CellLine]	Factor Value [COMPOUND]	ChEMBL_ID	Genotoxicity	Carcinogenicity	Characteristics_Control	Extract Name	Factor Value [DOSE]	Unit [ConcentrationUnit]	Time	TimeUnit	Replicate	Characteristics_Vehicle	array_file	control_file	final_array_file
NFE_48h_II	HepG2	nifedipine	CHEMBL193	NGTX	NC	FALSE				48	h	2	DMSO	NFE-48h-II.CEL	DMSO1-48h-II.CEL;DMSO2-48h-II.CEL	study05_CHEMBL193__48h_2
NFE_48h_III	HepG2	nifedipine	CHEMBL193	NGTX	NC	FALSE				48	h	3	DMSO	NFE-48h-III.CEL	DMSO1-48h-III.CEL;DMSO2-48h-III.CEL	study05_CHEMBL193__48h_3
NNK_24h_I	HepG2	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one	CHEMBL2311069	GTX	C	FALSE				24	h	1	DMSO	NNK-24h-I.CEL	DMSO1-24h-I.CEL;DMSO2-24h-I.CEL	study05_CHEMBL2311069__24h_1
NNK_24h_II	HepG2	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one	CHEMBL2311069	GTX	C	FALSE				24	h	2	DMSO	NNK-24h-II.CEL	DMSO1-24h-II.CEL;DMSO2-24h-II.CEL	study05_CHEMBL2311069__24h_2
NNK_24h_III	HepG2	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one	CHEMBL2311069	GTX	C	FALSE				24	h	3	DMSO	NNK-24h-III.CEL	DMSO1-24h-III.CEL;DMSO2-24h-III.CEL	study05_CHEMBL2311069__24h_3
NNK_48h_I	HepG2	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one	CHEMBL2311069	GTX	C	FALSE				48	h	1	DMSO	NNK-48h-I.CEL	DMSO1-48h-I.CEL;DMSO2-48h-I.CEL	study05_CHEMBL2311069__48h_1
NNK_48h_II	HepG2	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one	CHEMBL2311069	GTX	C	FALSE				48	h	2	DMSO	NNK-48h-II.CEL	DMSO1-48h-II.CEL;DMSO2-48h-II.CEL	study05_CHEMBL2311069__48h_2
NNK_48h_III	HepG2	4-(N-nitrosomethylamino)-1-(3-pyridyl)butan-1-one	CHEMBL2311069	GTX	C	FALSE				48	h	3	DMSO	NNK-48h-III.CEL	DMSO1-48h-III.CEL;DMSO2-48h-III.CEL	study05_CHEMBL2311069__48h_3
PPX_24h_I	HepG2	piperonyl butoxide	CHEMBL1201131	NGTX	C	FALSE				24	h	1	DMSO	PPX-24h-I.CEL	DMSO1-24h-I.CEL;DMSO2-24h-I.CEL	study05_CHEMBL1201131__24h_1
PPX_24h_II	HepG2	piperonyl butoxide	CHEMBL1201131	NGTX	C	FALSE				24	h	2	DMSO	PPX-24h-II.CEL	DMSO1-24h-II.CEL;DMSO2-24h-II.CEL	study05_CHEMBL1201131__24h_2
PPX_24h_III	HepG2	piperonyl butoxide	CHEMBL1201131	NGTX	C	FALSE				24	h	3	DMSO	PPX-24h-III.CEL	DMSO1-24h-III.CEL;DMSO2-24h-III.CEL	study05_CHEMBL1201131__24h_3
PPX_48h_I	HepG2	piperonyl butoxide	CHEMBL1201131	NGTX	C	FALSE				48	h	1	DMSO	PPX-48h-I.CEL	DMSO1-48h-I.CEL;DMSO2-48h-I.CEL	study05_CHEMBL1201131__48h_1
PPX_48h_II	HepG2	piperonyl butoxide	CHEMBL1201131	NGTX	C	FALSE				48	h	2	DMSO	PPX-48h-II.CEL	DMSO1-48h-II.CEL;DMSO2-48h-II.CEL	study05_CHEMBL1201131__48h_2
PPX_48h_III	HepG2	piperonyl butoxide	CHEMBL1201131	NGTX	C	FALSE				48	h	3	DMSO	PPX-48h-III.CEL	DMSO1-48h-III.CEL;DMSO2-48h-III.CEL	study05_CHEMBL1201131__48h_3
TOL_24h_I	HepG2	tolbutamide	CHEMBL782	NGTX	NC	FALSE				24	h	1	DMSO	TOL-24h-I.CEL	DMSO1-24h-I.CEL;DMSO2-24h-I.CEL	study05_CHEMBL782__24h_1
TOL_24h_II	HepG2	tolbutamide	CHEMBL782	NGTX	NC	FALSE				24	h	2	DMSO	TOL-24h-II.CEL	DMSO1-24h-II.CEL;DMSO2-24h-II.CEL	study05_CHEMBL782__24h_2
TOL_24h_III	HepG2	tolbutamide	CHEMBL782	NGTX	NC	FALSE				24	h	3	DMSO	TOL-24h-III.CEL	DMSO1-24h-III.CEL;DMSO2-24h-III.CEL	study05_CHEMBL782__24h_3
TOL_48h_I	HepG2	tolbutamide	CHEMBL782	NGTX	NC	FALSE				48	h	1	DMSO	TOL-48h-I.CEL	DMSO1-48h-I.CEL;DMSO2-48h-I.CEL	study05_CHEMBL782__48h_1
TOL_48h_II	HepG2	tolbutamide	CHEMBL782	NGTX	NC	FALSE				48	h	2	DMSO	TOL-48h-II.CEL	DMSO1-48h-II.CEL;DMSO2-48h-II.CEL	study05_CHEMBL782__48h_2
TOL_48h_III	HepG2	tolbutamide	CHEMBL782	NGTX	NC	FALSE				48	h	3	DMSO	TOL-48h-III.CEL	DMSO1-48h-III.CEL;DMSO2-48h-III.CEL	study05_CHEMBL782__48h_3
BPI-T1-AFB 10-24h-R-1-1	HepaRG	aflatoxin B1	CHEMBL1697694	GTX	C	FALSE	BPI-T1-DMSO-24h	2.5	uM	24	h		DMSO	BPI-T1-AFB_10-24h-R-1-1.CEL	BPI-T1-DMSO-24h-R-2-1.CEL;BPI-T1-DMSO-24h-R-2-2.CEL	study01_CHEMBL1697694_2_5uM_24h_
BPI-T1-CND 10-24h-R-1-1	HepaRG	clonidine	CHEMBL134	NGTX	NC	FALSE	BPI-T1-DMSO-24h	0.1	uM	24	h		DMSO	BPI-T1-CND_10-24h-R-1-1.CEL	BPI-T1-DMSO-24h-R-2-1.CEL;BPI-T1-DMSO-24h-R-2-2.CEL	study01_CHEMBL134_0_1uM_24h_
BPI-T1-CPM 10-24h-R-1-1	HepaRG	cyclophosphamide hydrate	CHEMBL1200796	GTX	C	FALSE	BPI-T1-DMSO-24h	700	uM	24	h		DMSO	BPI-T1-CPM_10-24h-R-1-1.CEL	BPI-T1-DMSO-24h-R-2-1.CEL;BPI-T1-DMSO-24h-R-2-2.CEL	study01_CHEMBL1200796_700uM_24h_
BPI-T1-PRN 10-24h-R-1-1	HepaRG	pirinixic acid	CHEMBL295416	NGTX	C	FALSE	BPI-T1-DMSO-24h	210	uM	24	h		DMSO	BPI-T1-PRN_10-24h-R-1-1.CEL	BPI-T1-DMSO-24h-R-2-1.CEL;BPI-T1-DMSO-24h-R-2-2.CEL	study01_CHEMBL295416_210uM_24h_
BPI-T1-TBT 10-24h-R-1-1	HepaRG	tolbutamide	CHEMBL782	NGTX	NC	FALSE	BPI-T1-DMSO-24h	2000	uM	24	h		DMSO	BPI-T1-TBT_10-24h-R-1-1.CEL	BPI-T1-DMSO-24h-R-2-1.CEL;BPI-T1-DMSO-24h-R-2-2.CEL	study01_CHEMBL782_2000uM_24h_
BPI-T1-TPA 10-24h-R-1-1	HepaRG	phorbol 13-acetate 12-myristate	CHEMBL279115	NGTX	C	FALSE	BPI-T1-DMSO-24h	35	uM	24	h		DMSO	BPI-T1-TPA_10-24h-R-1-1.CEL	BPI-T1-DMSO-24h-R-2-1.CEL;BPI-T1-DMSO-24h-R-2-2.CEL	study01_CHEMBL279115_35uM_24h_
BPI-T1-AFB 10-72h-R-1-1	HepaRG	aflatoxin B1	CHEMBL1697694	GTX	C	FALSE	BPI-T1-DMSO-72h	2.5	uM	72	h		DMSO	BPI-T1-AFB_10-72h-R-1-1.CEL	BPI-T1-DMSO-72h-R-2-1.CEL;BPI-T1-DMSO-72h-R-2-2.CEL	study01_CHEMBL1697694_2_5uM_72h_
BPI-T1-CND 10-72h-R-1-1	HepaRG	clonidine	CHEMBL134	NGTX	NC	FALSE	BPI-T1-DMSO-72h	0.1	uM	72	h		DMSO	BPI-T1-CND_10-72h-R-1-1.CEL	BPI-T1-DMSO-72h-R-2-1.CEL;BPI-T1-DMSO-72h-R-2-2.CEL	study01_CHEMBL134_0_1uM_72h_
BPI-T1-CPM 10-72h-R-1-1	HepaRG	cyclophosphamide hydrate	CHEMBL1200796	GTX	C	FALSE	BPI-T1-DMSO-72h	700	uM	72	h		DMSO	BPI-T1-CPM_10-72h-R-1-1.CEL	BPI-T1-DMSO-72h-R-2-1.CEL;BPI-T1-DMSO-72h-R-2-2.CEL	study01_CHEMBL1200796_700uM_72h_
BPI-T1-PRN 10-72h-R-1-1	HepaRG	pirinixic acid	CHEMBL295416	NGTX	C	FALSE	BPI-T1-DMSO-72h	210	uM	72	h		DMSO	BPI-T1-PRN_10-72h-R-1-1.CEL	BPI-T1-DMSO-72h-R-2-1.CEL;BPI-T1-DMSO-72h-R-2-2.CEL	study01_CHEMBL295416_210uM_72h_
BPI-T1-TBT 10-72h-R-1-1	HepaRG	tolbutamide	CHEMBL782	NGTX	NC	FALSE	BPI-T1-DMSO-72h	2000	uM	72	h		DMSO	BPI-T1-TBT_10-72h-R-1-1.CEL	BPI-T1-DMSO-72h-R-2-1.CEL;BPI-T1-DMSO-72h-R-2-2.CEL	study01_CHEMBL782_2000uM_72h_
BPI-T1-TPA 10-72h-R-1-1	HepaRG	phorbol 13-acetate 12-myristate	CHEMBL279115	NGTX	C	FALSE	BPI-T1-DMSO-72h	35	uM	72	h		DMSO	BPI-T1-TPA_10-72h-R-1-1.CEL	BPI-T1-DMSO-72h-R-2-1.CEL;BPI-T1-DMSO-72h-R-2-2.CEL	study01_CHEMBL279115_35uM_72h_
BPI-T2-2NF10-24h-R-1-1	HepaRG	2-nitrofluorene	CHEMBL351487	GTX	C	FALSE	BPI-T2-DMSO-24h	18	uM	24	h		DMSO	BPI-T2-2NF10-24h-R-1-1.CEL	BPI-T2-DMSO-24h-R-1-1.CEL;BPI-T2-DMSO-24h-R-2-1.CEL;BPI-T2-DMSO-24h-R-2-2.CEL	study01_CHEMBL351487_18uM_24h_
BPI-T2-2NF5-24h-R-1-1	HepaRG	2-nitrofluorene	CHEMBL351487	GTX	C	FALSE	BPI-T2-DMSO-24h	9	uM	24	h		DMSO	BPI-T2-2NF5-24h-R-1-1.CEL	BPI-T2-DMSO-24h-R-1-1.CEL;BPI-T2-DMSO-24h-R-2-1.CEL;BPI-T2-DMSO-24h-R-2-2.CEL	study01_CHEMBL351487_9uM_24h_
BPI-T2-AFB 10-24h-R-1-1	HepaRG	aflatoxin B1	CHEMBL1697694	GTX	C	FALSE	BPI-T2-DMSO-24h	2.5	uM	24	h		DMSO	BPI-T2-AFB_10-24h-R-1-1.CEL	BPI-T2-DMSO-24h-R-1-1.CEL;BPI-T2-DMSO-24h-R-2-1.CEL;BPI-T2-DMSO-24h-R-2-2.CEL	study01_CHEMBL1697694_2_5uM_24h_
BPI-T2-BaP10-24h-R-1-1	HepaRG	benzo[a]pyrene	CHEMBL31184	GTX	C	FALSE	BPI-T2-DMSO-24h	5	uM	24	h		DMSO	BPI-T2-BaP10-24h-R-1-1.CEL	BPI-T2-DMSO-24h-R-1-1.CEL;BPI-T2-DMSO-24h-R-2-1.CEL;BPI-T2-DMSO-24h-R-2-2.CEL	study01_CHEMBL31184_5uM_24h_
BPI-T2-BaP5-24h-R-1-1	HepaRG	benzo[a]pyrene	CHEMBL31184	GTX	C	FALSE	BPI-T2-DMSO-24h	2.5	uM	24	h		DMSO	BPI-T2-BaP5-24h-R-1-1.CEL	BPI-T2-DMSO-24h-R-1-1.CEL;BPI-T2-DMSO-24h-R-2-1.CEL;BPI-T2-DMSO-24h-R-2-2.CEL	study01_CHEMBL31184_2_5uM_24h_
BPI-T2-CND 10-24h-R-1-1	HepaRG	clonidine	CHEMBL134	NGTX	NC	FALSE	BPI-T2-DMSO-24h	0.1	uM	24	h		DMSO	BPI-T2-CND_10-24h-R-1-1.CEL	BPI-T2-DMSO-24h-R-1-1.CEL;BPI-T2-DMSO-24h-R-2-1.CEL;BPI-T2-DMSO-24h-R-2-2.CEL	study01_CHEMBL134_0_1uM_24h_
BPI-T2-CPM 10-24h-R-1-1	HepaRG	cyclophosphamide hydrate	CHEMBL1200796	GTX	C	FALSE	BPI-T2-DMSO-24h	700	uM	24	h		DMSO	BPI-T2-CPM_10-24h-R-1-1.CEL	BPI-T2-DMSO-24h-R-1-1.CEL;BPI-T2-DMSO-24h-R-2-1.CEL;BPI-T2-DMSO-24h-R-2-2.CEL	study01_CHEMBL1200796_700uM_24h_
BPI-T2-DMN10-24h-R-1-1	HepaRG	N-nitrosodimethylamine	CHEMBL117311	GTX	C	FALSE	BPI-T2-DMSO-24h	200	uM	24	h		DMSO	BPI-T2-DMN10-24h-R-1-1.CEL	BPI-T2-DMSO-24h-R-1-1.CEL;BPI-T2-DMSO-24h-R-2-1.CEL;BPI-T2-DMSO-24h-R-2-2.CEL	study01_CHEMBL117311_200uM_24h_
BPI-T2-DMN5-24h-R-1-1	HepaRG	N-nitrosodimethylamine	CHEMBL117311	GTX	C	FALSE	BPI-T2-DMSO-24h	100	uM	24	h		DMSO	BPI-T2-DMN5-24h-R-1-1.CEL	BPI-T2-DMSO-24h-R-1-1.CEL;BPI-T2-DMSO-24h-R-2-1.CEL;BPI-T2-DMSO-24h-R-2-2.CEL	study01_CHEMBL117311_100uM_24h_
BPI-T2-MPH10-24h-R-1-1	HepaRG	methapyrilene hydrochloride	CHEMBL1255739	NGTX	C	FALSE	BPI-T2-DMSO-24h	75	uM	24	h		DMSO	BPI-T2-MPH10-24h-R-1-1.CEL	BPI-T2-DMSO-24h-R-1-1.CEL;BPI-T2-DMSO-24h-R-2-1.CEL;BPI-T2-DMSO-24h-R-2-2.CEL	study01_CHEMBL1255739_75uM_24h_
BPI-T2-MPH5-24h-R-1-1	HepaRG	methapyrilene hydrochloride	CHEMBL1255739	NGTX	C	FALSE	BPI-T2-DMSO-24h	37.5	uM	24	h		DMSO	BPI-T2-MPH5-24h-R-1-1.CEL	BPI-T2-DMSO-24h-R-1-1.CEL;BPI-T2-DMSO-24h-R-2-1.CEL;BPI-T2-DMSO-24h-R-2-2.CEL	study01_CHEMBL1255739_37_5uM_24h_
BPI-T2-NFE10-24h-R-1-1	HepaRG	nifedipine	CHEMBL193	NGTX	NC	FALSE	BPI-T2-DMSO-24h	40	uM	24	h		DMSO	BPI-T2-NFE10-24h-R-1-1.CEL	BPI-T2-DMSO-24h-R-1-1.CEL;BPI-T2-DMSO-24h-R-2-1.CEL;BPI-T2-DMSO-24h-R-2-2.CEL	study01_CHEMBL193_40uM_24h_
BPI-T2-NFE5-24h-R-1-1	HepaRG	nifedipine	CHEMBL193	NGTX	NC	FALSE	BPI-T2-DMSO-24h	20	uM	24	h		DMSO	BPI-T2-NFE5-24h-R-1-1.CEL	BPI-T2-DMSO-24h-R-1-1.CEL;BPI-T2-DMSO-24h-R-2-1.CEL;BPI-T2-DMSO-24h-R-2-2.CEL	study01_CHEMBL193_20uM_24h_
BPI-T2-PPX10-24h-R-1-1	HepaRG	piperonyl butoxide	CHEMBL1201131	NGTX	C	FALSE	BPI-T2-DMSO-24h	3.2	uM	24	h		DMSO	BPI-T2-PPX10-24h-R-1-1.CEL	BPI-T2-DMSO-24h-R-1-1.CEL;BPI-T2-DMSO-24h-R-2-1.CEL;BPI-T2-DMSO-24h-R-2-2.CEL	study01_CHEMBL1201131_3_2uM_24h_
BPI-T2-PPX5-24h-R-1-1	HepaRG	piperonyl butoxide	CHEMBL1201131	NGTX	C	FALSE	BPI-T2-DMSO-24h	1.6	uM	24	h		DMSO	BPI-T2-PPX5-24h-R-1-1.CEL	BPI-T2-DMSO-24h-R-1-1.CEL;BPI-T2-DMSO-24h-R-2-1.CEL;BPI-T2-DMSO-24h-R-2-2.CEL	study01_CHEMBL1201131_1_6uM_24h_
BPI-T2-PRN 10-24h-R-1-1	HepaRG	pirinixic acid	CHEMBL295416	NGTX	C	FALSE	BPI-T2-DMSO-24h	210	uM	24	h		DMSO	BPI-T2-PRN_10-24h-R-1-1.CEL	BPI-T2-DMSO-24h-R-1-1.CEL;BPI-T2-DMSO-24h-R-2-1.CEL;BPI-T2-DMSO-24h-R-2-2.CEL	study01_CHEMBL295416_210uM_24h_
BPI-T2-SPB10-24h-R-1-1	HepaRG	phenobarbital sodium	CHEMBL149972	NGTX	C	FALSE	BPI-T2-DMSO-24h	50	uM	24	h		DMSO	BPI-T2-SPB10-24h-R-1-1.CEL	BPI-T2-DMSO-24h-R-1-1.CEL;BPI-T2-DMSO-24h-R-2-1.CEL;BPI-T2-DMSO-24h-R-2-2.CEL	study01_CHEMBL149972_50uM_24h_
BPI-T2-SPB5-24h-R-1-1	HepaRG	phenobarbital sodium	CHEMBL149972	NGTX	C	FALSE	BPI-T2-DMSO-24h	25	uM	24	h		DMSO	BPI-T2-SPB5-24h-R-1-1.CEL	BPI-T2-DMSO-24h-R-1-1.CEL;BPI-T2-DMSO-24h-R-2-1.CEL;BPI-T2-DMSO-24h-R-2-2.CEL	study01_CHEMBL149972_25uM_24h_
BPI-T2-TBT 10-24h-R-1-1	HepaRG	tolbutamide	CHEMBL782	NGTX	NC	FALSE	BPI-T2-DMSO-24h	2000	uM	24	h		DMSO	BPI-T2-TBT_10-24h-R-1-1.CEL	BPI-T2-DMSO-24h-R-1-1.CEL;BPI-T2-DMSO-24h-R-2-1.CEL;BPI-T2-DMSO-24h-R-2-2.CEL	study01_CHEMBL782_2000uM_24h_
BPI-T2-TPA 10-24h-R-1-1	HepaRG	phorbol 13-acetate 12-myristate	CHEMBL279115	NGTX	C	FALSE	BPI-T2-DMSO-24h	35	uM	24	h		DMSO	BPI-T2-TPA_10-24h-R-1-1.CEL	BPI-T2-DMSO-24h-R-1-1.CEL;BPI-T2-DMSO-24h-R-2-1.CEL;BPI-T2-DMSO-24h-R-2-2.CEL	study01_CHEMBL279115_35uM_24h_
BPI-T2-2NF10-72h-R-1-1	HepaRG	2-nitrofluorene	CHEMBL351487	GTX	C	FALSE	BPI-T2-DMSO-72h	18	uM	72	h		DMSO	BPI-T2-2NF10-72h-R-1-1.CEL	BPI-T2-DMSO-72h-R-1-1.CEL;BPI-T2-DMSO-72h-R-2-1.CEL;BPI-T2-DMSO-72h-R-2-2.CEL	study01_CHEMBL351487_18uM_72h_
BPI-T2-2NF5-72h-R-1-1	HepaRG	2-nitrofluorene	CHEMBL351487	GTX	C	FALSE	BPI-T2-DMSO-72h	9	uM	72	h		DMSO	BPI-T2-2NF5-72h-R-1-1.CEL	BPI-T2-DMSO-72h-R-1-1.CEL;BPI-T2-DMSO-72h-R-2-1.CEL;BPI-T2-DMSO-72h-R-2-2.CEL	study01_CHEMBL351487_9uM_72h_
BPI-T2-AFB 10-72h-R-1-1	HepaRG	aflatoxin B1	CHEMBL1697694	GTX	C	FALSE	BPI-T2-DMSO-72h	2.5	uM	72	h		DMSO	BPI-T2-AFB_10-72h-R-1-1.CEL	BPI-T2-DMSO-72h-R-1-1.CEL;BPI-T2-DMSO-72h-R-2-1.CEL;BPI-T2-DMSO-72h-R-2-2.CEL	study01_CHEMBL1697694_2_5uM_72h_
BPI-T2-BaP10-72h-R-1-1	HepaRG	benzo[a]pyrene	CHEMBL31184	GTX	C	FALSE	BPI-T2-DMSO-72h	5	uM	72	h		DMSO	BPI-T2-BaP10-72h-R-1-1.CEL	BPI-T2-DMSO-72h-R-1-1.CEL;BPI-T2-DMSO-72h-R-2-1.CEL;BPI-T2-DMSO-72h-R-2-2.CEL	study01_CHEMBL31184_5uM_72h_
BPI-T2-BaP5-72h-R-1-1	HepaRG	benzo[a]pyrene	CHEMBL31184	GTX	C	FALSE	BPI-T2-DMSO-72h	2.5	uM	72	h		DMSO	BPI-T2-BaP5-72h-R-1-1.CEL	BPI-T2-DMSO-72h-R-1-1.CEL;BPI-T2-DMSO-72h-R-2-1.CEL;BPI-T2-DMSO-72h-R-2-2.CEL	study01_CHEMBL31184_2_5uM_72h_
BPI-T2-CND 10-72h-R-1-1	HepaRG	clonidine	CHEMBL134	NGTX	NC	FALSE	BPI-T2-DMSO-72h	0.1	uM	72	h		DMSO	BPI-T2-CND_10-72h-R-1-1.CEL	BPI-T2-DMSO-72h-R-1-1.CEL;BPI-T2-DMSO-72h-R-2-1.CEL;BPI-T2-DMSO-72h-R-2-2.CEL	study01_CHEMBL134_0_1uM_72h_
BPI-T2-CPM 10-72h-R-1-1	HepaRG	cyclophosphamide hydrate	CHEMBL1200796	GTX	C	FALSE	BPI-T2-DMSO-72h	700	uM	72	h		DMSO	BPI-T2-CPM_10-72h-R-1-1.CEL	BPI-T2-DMSO-72h-R-1-1.CEL;BPI-T2-DMSO-72h-R-2-1.CEL;BPI-T2-DMSO-72h-R-2-2.CEL	study01_CHEMBL1200796_700uM_72h_
BPI-T2-DMN10-72h-R-1-1	HepaRG	N-nitrosodimethylamine	CHEMBL117311	GTX	C	FALSE	BPI-T2-DMSO-72h	200	uM	72	h		DMSO	BPI-T2-DMN10-72h-R-1-1.CEL	BPI-T2-DMSO-72h-R-1-1.CEL;BPI-T2-DMSO-72h-R-2-1.CEL;BPI-T2-DMSO-72h-R-2-2.CEL	study01_CHEMBL117311_200uM_72h_
